label,kind,delta,unit,mean_e_flow,rel_pct,corr_e_flow_depth,n_frames
f3_st_hf,rot,0.0,deg,0.13814,0.0,0.1129,40
f3_st_hf,rot,0.1,deg,0.14275,3.34,0.1436,40
f3_st_hf,rot,0.25,deg,0.14776,6.97,0.1518,40
f3_st_hf,rot,0.5,deg,0.16096,16.52,0.1105,40
f3_st_hf,rot,1.0,deg,0.20333,47.19,0.0966,40
f3_st_hf,rot,2.0,deg,0.23408,69.45,0.0926,40
f3_st_hf,trans,0.0,m,0.13814,0.0,0.1129,40
f3_st_hf,trans,0.01,m,0.1785,29.22,-0.2399,40
f3_st_hf,trans,0.02,m,0.22516,63.0,-0.4526,40
f3_st_hf,trans,0.05,m,0.27187,96.81,-0.5649,40
f3_st_hf,trans,0.1,m,0.26916,94.85,-0.5771,40
f3_st_hf,trans,0.2,m,0.26782,93.88,-0.5777,40
crowd,rot,0.0,deg,0.20956,0.0,-0.3514,40
crowd,rot,0.1,deg,0.20794,-0.78,-0.3685,40
crowd,rot,0.25,deg,0.20776,-0.86,-0.3711,40
crowd,rot,0.5,deg,0.20761,-0.93,-0.3606,40
crowd,rot,1.0,deg,0.2295,9.51,-0.2597,40
crowd,rot,2.0,deg,0.23068,10.08,-0.1697,40
crowd,trans,0.0,m,0.20956,0.0,-0.3514,40
crowd,trans,0.01,m,0.19782,-5.6,-0.3255,40
crowd,trans,0.02,m,0.21096,0.67,-0.3898,40
crowd,trans,0.05,m,0.26062,24.37,-0.6056,40
crowd,trans,0.1,m,0.27228,29.93,-0.7044,40
crowd,trans,0.2,m,0.27674,32.06,-0.7423,40
crowd2,rot,0.0,deg,0.2376,0.0,-0.4711,40
crowd2,rot,0.1,deg,0.23749,-0.05,-0.4878,40
crowd2,rot,0.25,deg,0.23981,0.93,-0.492,40
crowd2,rot,0.5,deg,0.2477,4.25,-0.4821,40
crowd2,rot,1.0,deg,0.25301,6.48,-0.4361,40
crowd2,rot,2.0,deg,0.25051,5.43,-0.3332,40
crowd2,trans,0.0,m,0.2376,0.0,-0.4711,40
crowd2,trans,0.01,m,0.23625,-0.57,-0.525,40
crowd2,trans,0.02,m,0.25023,5.31,-0.5342,40
crowd2,trans,0.05,m,0.27802,17.01,-0.6367,40
crowd2,trans,0.1,m,0.29007,22.08,-0.7317,40
crowd2,trans,0.2,m,0.29297,23.3,-0.7698,40
f3_st_xyz,rot,0.0,deg,0.10959,0.0,0.1397,40
f3_st_xyz,rot,0.1,deg,0.10964,0.04,0.1137,40
f3_st_xyz,rot,0.25,deg,0.11768,7.38,0.0253,40
f3_st_xyz,rot,0.5,deg,0.13895,26.8,-0.0161,40
f3_st_xyz,rot,1.0,deg,0.19013,73.5,-0.0206,40
f3_st_xyz,rot,2.0,deg,0.23236,112.03,-0.0321,40
f3_st_xyz,trans,0.0,m,0.10959,0.0,0.1397,40
f3_st_xyz,trans,0.01,m,0.13865,26.52,-0.2172,40
f3_st_xyz,trans,0.02,m,0.19631,79.13,-0.397,40
f3_st_xyz,trans,0.05,m,0.2706,146.93,-0.4816,40
f3_st_xyz,trans,0.1,m,0.27403,150.06,-0.4929,40
f3_st_xyz,trans,0.2,m,0.27557,151.46,-0.495,40
f3_st_rpy,rot,0.0,deg,0.11318,0.0,0.055,40
f3_st_rpy,rot,0.1,deg,0.11887,5.03,0.0073,40
f3_st_rpy,rot,0.25,deg,0.12366,9.26,-0.0276,40
f3_st_rpy,rot,0.5,deg,0.14461,27.77,-0.0672,40
f3_st_rpy,rot,1.0,deg,0.19413,71.52,-0.0867,40
f3_st_rpy,rot,2.0,deg,0.23244,105.37,-0.0835,40
f3_st_rpy,trans,0.0,m,0.11318,0.0,0.055,40
f3_st_rpy,trans,0.01,m,0.14926,31.88,-0.2863,40
f3_st_rpy,trans,0.02,m,0.20795,83.73,-0.4681,40
f3_st_rpy,trans,0.05,m,0.28027,147.63,-0.5368,40
f3_st_rpy,trans,0.1,m,0.28723,153.77,-0.5439,40
f3_st_rpy,trans,0.2,m,0.28842,154.83,-0.5431,40
f3_wk_xyz(未污染对照),rot,0.0,deg,0.20687,0.0,-0.2037,40
f3_wk_xyz(未污染对照),rot,0.1,deg,0.20749,0.3,-0.2115,40
f3_wk_xyz(未污染对照),rot,0.25,deg,0.20529,-0.77,-0.2052,40
f3_wk_xyz(未污染对照),rot,0.5,deg,0.2092,1.12,-0.1642,40
f3_wk_xyz(未污染对照),rot,1.0,deg,0.22731,9.88,-0.1228,40
f3_wk_xyz(未污染对照),rot,2.0,deg,0.24449,18.18,-0.0777,40
f3_wk_xyz(未污染对照),trans,0.0,m,0.20687,0.0,-0.2037,40
f3_wk_xyz(未污染对照),trans,0.01,m,0.21429,3.59,-0.3046,40
f3_wk_xyz(未污染对照),trans,0.02,m,0.23298,12.62,-0.3845,40
f3_wk_xyz(未污染对照),trans,0.05,m,0.27868,34.71,-0.4908,40
f3_wk_xyz(未污染对照),trans,0.1,m,0.28351,37.05,-0.5279,40
f3_wk_xyz(未污染对照),trans,0.2,m,0.28312,36.86,-0.5374,40
f3_st_xyz,rot,0.0,deg,0.09849,0.0,0.0689,30,0.06159,-37.47,1.694,1.0
f3_st_xyz,rot,0.1,deg,0.10359,5.18,0.0545,30,0.06122,-37.85,1.925,1.0
f3_st_xyz,rot,0.25,deg,0.11313,14.86,0.0014,30,0.06125,-37.81,2.698,1.0
f3_st_xyz,rot,0.5,deg,0.13946,41.6,-0.0269,30,0.06089,-38.18,4.472,1.0
f3_st_xyz,rot,1.0,deg,0.19066,93.59,-0.0356,30,0.06066,-38.41,8.276,1.0
f3_st_xyz,rot,2.0,deg,0.23329,136.87,-0.0363,30,0.08937,-9.26,15.963,0.833
f3_st_xyz,trans,0.0,m,0.09849,0.0,0.0689,30,0.06159,-37.47,1.694,1.0
f3_st_xyz,trans,0.01,m,0.13274,34.77,-0.2776,30,0.06075,-38.31,2.5,1.0
f3_st_xyz,trans,0.02,m,0.19583,98.83,-0.4352,30,0.06079,-38.28,3.897,1.0
f3_st_xyz,trans,0.05,m,0.26691,171.01,-0.4847,30,0.06074,-38.33,8.696,1.0
f3_st_xyz,trans,0.1,m,0.27407,178.27,-0.4912,30,0.11988,21.72,16.923,0.7
f3_st_xyz,trans,0.2,m,0.27529,179.51,-0.4933,30,0.26104,165.05,33.15,0.067
f3_st_rpy,rot,0.0,deg,0.12303,0.0,0.0873,30,0.09089,-26.12,2.325,0.933
f3_st_rpy,rot,0.1,deg,0.11931,-3.02,0.0582,30,0.09303,-24.39,2.417,0.933
f3_st_rpy,rot,0.25,deg,0.1255,2.01,0.0003,30,0.08638,-29.79,2.904,0.967
f3_st_rpy,rot,0.5,deg,0.14789,20.21,-0.0922,30,0.08444,-31.37,4.17,1.0
f3_st_rpy,rot,1.0,deg,0.19987,62.46,-0.1253,30,0.08429,-31.49,7.724,1.0
f3_st_rpy,rot,2.0,deg,0.23677,92.45,-0.1081,30,0.11085,-9.9,15.412,0.833
f3_st_rpy,trans,0.0,m,0.12303,0.0,0.0873,30,0.09089,-26.12,2.325,0.933
f3_st_rpy,trans,0.01,m,0.15558,26.45,-0.1973,30,0.09288,-24.51,3.173,0.933
f3_st_rpy,trans,0.02,m,0.20685,68.13,-0.4036,30,0.09128,-25.81,4.611,0.967
f3_st_rpy,trans,0.05,m,0.26379,114.4,-0.4956,30,0.08344,-32.18,9.518,1.0
f3_st_rpy,trans,0.1,m,0.27538,123.83,-0.5076,30,0.17514,42.35,18.011,0.567
f3_st_rpy,trans,0.2,m,0.27733,125.41,-0.5106,30,0.25773,109.48,34.709,0.133
f2_xyz,rot,0.0,deg,0.05612,0.0,0.0807,30,0.03093,-44.89,1.405,0.967
f2_xyz,rot,0.1,deg,0.06012,7.13,0.0316,30,0.0301,-46.36,1.755,1.0
f2_xyz,rot,0.25,deg,0.08348,48.75,0.0139,30,0.03018,-46.22,2.656,1.0
f2_xyz,rot,0.5,deg,0.12891,129.7,0.0251,30,0.03007,-46.42,4.372,1.0
f2_xyz,rot,1.0,deg,0.19117,240.64,0.0439,30,0.02987,-46.77,8.004,1.0
f2_xyz,rot,2.0,deg,0.23475,318.3,0.0674,30,0.03085,-45.03,15.505,1.0
f2_xyz,trans,0.0,m,0.05612,0.0,0.0807,30,0.03093,-44.89,1.405,0.967
f2_xyz,trans,0.01,m,0.14911,165.7,-0.3939,30,0.0301,-46.37,3.621,1.0
f2_xyz,trans,0.02,m,0.22159,294.84,-0.4291,30,0.02949,-47.45,6.817,1.0
f2_xyz,trans,0.05,m,0.2348,318.38,-0.4356,30,0.08414,49.92,16.771,0.733
f2_xyz,trans,0.1,m,0.23404,317.03,-0.4362,30,0.20214,260.2,33.105,0.167
f2_xyz,trans,0.2,m,0.23337,315.83,-0.4403,30,0.23337,315.83,64.475,0.0
f2_person,rot,0.0,deg,0.06778,0.0,0.075,30,0.05246,-22.61,1.316,0.967
f2_person,rot,0.1,deg,0.07716,13.83,0.0024,30,0.05241,-22.68,1.465,1.0
f2_person,rot,0.25,deg,0.09478,39.83,-0.0302,30,0.05144,-24.11,2.246,1.0
f2_person,rot,0.5,deg,0.13552,99.93,0.0082,30,0.05112,-24.58,3.865,1.0
f2_person,rot,1.0,deg,0.19798,192.08,0.0312,30,0.05083,-25.0,7.55,1.0
f2_person,rot,2.0,deg,0.23522,247.03,0.0407,30,0.06881,1.52,15.156,0.9
f2_person,trans,0.0,m,0.06778,0.0,0.075,30,0.05246,-22.61,1.316,0.967
f2_person,trans,0.01,m,0.15023,121.64,-0.4636,30,0.0511,-24.61,2.794,1.0
f2_person,trans,0.02,m,0.22053,225.35,-0.492,30,0.05084,-25.0,4.912,1.0
f2_person,trans,0.05,m,0.25126,270.69,-0.5162,30,0.05119,-24.47,11.608,1.0
f2_person,trans,0.1,m,0.24925,267.73,-0.5159,30,0.18715,176.11,22.843,0.3
f2_person,trans,0.2,m,0.24601,262.93,-0.5139,30,0.24601,262.93,44.829,0.0
f3_office,rot,0.0,deg,0.1199,0.0,0.1762,30,0.08079,-32.62,1.389,1.0
