frame,rgb,depth_stem,person_px,gtmc_px,valid_px,static_support_px,fp_px,fp_inside_union_px,fp_outside_union_px,fn_px,fp_outside_w5_px,fp_outside_w15_px,fp_outside_w30_px
0,rgb/1548266469.88633.png,1548266469.88217,50190,6661,262280,256085,45605,45605,0,5721,25094,22826,22561
1,rgb/1548266469.91959.png,1548266469.91552,49854,6378,263196,257455,44993,44993,0,4500,22726,22726,19305
2,rgb/1548266469.95271.png,1548266469.94889,48882,30563,261906,233195,24623,24623,0,8649,21507,21507,18391
3,rgb/1548266469.98623.png,1548266469.98226,48561,5380,262971,257998,44292,44292,0,4858,21541,21447,18352
4,rgb/1548266470.01975.png,1548266470.01563,48865,5825,263917,258499,43949,43949,0,4623,21539,21338,18109
5,rgb/1548266470.05326.png,1548266470.04900,47996,8433,262633,254567,43355,43355,0,7802,20725,20586,17510
6,rgb/1548266470.08693.png,1548266470.08237,47946,25293,262014,238171,24298,24298,0,4803,21041,20740,16842
7,rgb/1548266470.12044.png,1548266470.11574,47236,571,262138,261573,43070,43070,0,565,20987,20642,17063
8,rgb/1548266470.15396.png,1548266470.14910,47228,0,260811,260811,42658,42658,0,0,23107,20697,17046
9,rgb/1548266470.18747.png,1548266470.18247,46803,316,262457,262163,42302,42302,0,294,22838,20514,16698
10,rgb/1548266470.22084.png,1548266470.21584,47154,0,262388,262388,42983,42983,0,0,23529,20650,17015
11,rgb/1548266470.25436.png,1548266470.24921,47230,92,261226,261135,42884,42884,0,91,23737,20525,16770
12,rgb/1548266470.28784.png,1548266470.28258,47125,0,260208,260208,42414,42414,0,0,42414,20435,16431
13,rgb/1548266470.32136.png,1548266470.31595,47042,0,260118,260118,42442,42442,0,0,41836,20737,16573
14,rgb/1548266470.35488.png,1548266470.34932,47484,0,261691,261691,43621,43621,0,0,40439,20822,16378
15,rgb/1548266470.38839.png,1548266470.38269,47395,0,260590,260590,43390,43390,0,0,40022,20769,15932
16,rgb/1548266470.42191.png,1548266470.41606,46961,1353,261635,260336,43266,43266,0,1286,39628,18036,16188
17,rgb/1548266470.45542.png,1548266470.44942,46241,798,259895,259112,42262,42262,0,783,38628,17255,15817
18,rgb/1548266470.48890.png,1548266470.48279,45849,6032,259082,253378,41427,41427,0,5091,38406,17331,15656
19,rgb/1548266470.52240.png,1548266470.51616,45714,7781,261889,254435,39307,39307,0,4696,38280,16928,15644
20,rgb/1548266470.55592.png,1548266470.54953,45763,6464,262024,255891,41389,41389,0,5677,38180,16687,15563
21,rgb/1548266470.58944.png,1548266470.58290,45424,7888,259210,251724,38198,38198,0,4592,37634,15951,15515
22,rgb/1548266470.62296.png,1548266470.61627,44032,5651,261571,256130,40084,40084,0,5435,36600,16769,15381
23,rgb/1548266470.65649.png,1548266470.64963,44398,4425,261142,257133,40476,40476,0,3864,37224,17186,15562
24,rgb/1548266470.69003.png,1548266470.68300,44776,5394,257502,252480,40124,40124,0,4903,36746,16877,15426
25,rgb/1548266470.72352.png,1548266470.71637,44602,3763,258394,254827,40166,40166,0,3567,36964,16456,15153
26,rgb/1548266470.75703.png,1548266470.74974,43840,4731,258759,254272,39318,39318,0,4487,18264,16175,15035
27,rgb/1548266470.79055.png,1548266470.78311,44413,4492,260316,256094,40742,40742,0,4222,19370,15999,15123
28,rgb/1548266470.82409.png,1548266470.81648,44627,6469,258619,252401,40961,40961,0,6218,18322,15718,14996
29,rgb/1548266470.85761.png,1548266470.84985,44646,4482,260365,256157,40877,40877,0,4208,17868,15806,2015
30,rgb/1548266470.89110.png,1548266470.88322,43185,4478,261258,257022,40629,40629,0,4236,16314,15193,1717
31,rgb/1548266470.92462.png,1548266470.91659,43726,28831,260277,232887,19679,19679,0,6015,15238,14878,1889
32,rgb/1548266470.95813.png,1548266470.94997,44005,41410,259721,220118,19723,19723,0,17971,14905,14528,1781
33,rgb/1548266470.99165.png,1548266470.98334,42502,29046,261980,234426,19061,19061,0,5988,14378,14131,1924
34,rgb/1548266471.02519.png,1548266471.01671,41762,27102,261371,235604,19033,19033,0,5083,14141,13999,2092
35,rgb/1548266471.05868.png,1548266471.05008,42469,26098,261840,236943,18696,18696,0,3393,13074,13024,2130
36,rgb/1548266471.09219.png,1548266471.08345,42607,40441,262368,223675,18977,18977,0,17238,13224,12858,2246
37,rgb/1548266471.12571.png,1548266471.11681,43076,41642,261801,221990,19107,19107,0,17925,13897,12950,2616
38,rgb/1548266471.15923.png,1548266471.15018,43886,42927,260467,219631,19004,19004,0,18287,14051,12476,2791
39,rgb/1548266471.19274.png,1548266471.18355,46553,30851,260979,231728,20802,20802,0,6173,15384,12861,2663
40,rgb/1548266471.22626.png,1548266471.21691,47291,30949,261299,232067,20894,20894,0,5688,16778,13140,2860
41,rgb/1548266471.25977.png,1548266471.25028,45944,2818,260970,258179,43002,43002,0,2709,16177,12479,2910
42,rgb/1548266471.29328.png,1548266471.28365,46579,3026,260688,257732,43530,43530,0,2956,17297,12376,2769
43,rgb/1548266471.32679.png,1548266471.31702,47023,744,262509,261785,44252,44252,0,724,18743,12936,3101
44,rgb/1548266471.36031.png,1548266471.35039,46747,284,260590,260310,43531,43531,0,280,19686,3411,3085
45,rgb/1548266471.39382.png,1548266471.38376,46068,127,261084,260959,43343,43343,0,125,21421,3128,2999
46,rgb/1548266471.42735.png,1548266471.41713,46215,0,263085,263085,43888,43888,0,0,21400,3471,3379
47,rgb/1548266471.46081.png,1548266471.45049,46486,178,261257,261079,43507,43507,0,178,20769,3578,3431
48,rgb/1548266471.49419.png,1548266471.48386,46195,500,262504,262018,43921,43921,0,486,20683,3149,2838
49,rgb/1548266471.52771.png,1548266471.51724,46191,2606,260794,258326,43378,43378,0,2468,19772,3347,2792
50,rgb/1548266471.56122.png,1548266471.55062,46161,12777,261419,248976,43784,43784,0,12417,18974,4056,3183
51,rgb/1548266471.59495.png,1548266471.58399,45858,30064,260869,232098,19816,19816,0,5257,18731,4444,3410
52,rgb/1548266471.62825.png,1548266471.61736,46409,26633,259749,234459,20461,20461,0,1790,18577,4603,3335
53,rgb/1548266471.66171.png,1548266471.65073,47191,26692,260956,235693,20931,20931,0,1693,18929,4946,3324
54,rgb/1548266471.69519.png,1548266471.68410,46192,5530,259545,254222,43583,43583,0,5190,7423,4856,3148
55,rgb/1548266471.72874.png,1548266471.71747,46583,29242,266167,237804,20883,20883,0,4831,3912,2787,1745
56,rgb/1548266471.76232.png,1548266471.75084,49286,4523,263804,259454,46861,46861,0,3921,3441,3134,1573
57,rgb/1548266471.79612.png,1548266471.78421,49052,2155,260645,258543,46021,46021,0,2042,3235,3117,1455
58,rgb/1548266471.82969.png,1548266471.81757,49856,11268,263976,252961,46958,46958,0,10473,1991,1848,861
59,rgb/1548266471.86321.png,1548266471.85094,49728,115840,264784,153281,4235,4235,0,68304,64,64,64
60,rgb/1548266471.89673.png,1548266471.88431,51793,109109,262060,157587,4863,4863,0,59833,97,26,14
61,rgb/1548266471.93018.png,1548266471.91768,53163,2612,261526,259040,50685,50685,0,2486,286,159,158
62,rgb/1548266471.96376.png,1548266471.95106,53418,108423,262883,158732,3805,3805,0,57335,2082,1735,916
63,rgb/1548266471.99727.png,1548266471.98443,53869,133,259852,259721,50608,50608,0,131,3215,2545,1470
64,rgb/1548266472.03076.png,1548266472.01780,53995,151,260863,260726,50396,50396,0,137,4097,3426,1438
65,rgb/1548266472.06428.png,1548266472.05117,54722,1766,263144,261553,51653,51653,0,1330,8212,6585,2212
66,rgb/1548266472.09776.png,1548266472.08453,54878,2600,262074,259559,51542,51542,0,2515,11875,8163,3186
67,rgb/1548266472.13128.png,1548266472.11790,54677,2201,261416,259321,50306,50306,0,1912,11905,8298,2977
68,rgb/1548266472.16483.png,1548266472.15127,54382,3012,264296,261473,52229,52229,0,2646,50959,10747,3446
69,rgb/1548266472.19837.png,1548266472.18464,56419,2535,264353,261837,54106,54106,0,2516,51864,13250,4829
70,rgb/1548266472.23189.png,1548266472.21800,55455,5907,262979,257371,51653,51653,0,5579,49407,12945,4712
71,rgb/1548266472.26560.png,1548266472.25137,55811,3560,263351,259912,51973,51973,0,3225,50649,13771,4776
72,rgb/1548266472.29912.png,1548266472.28473,55984,3359,264821,261604,52489,52489,0,3095,51189,17916,6215
73,rgb/1548266472.33241.png,1548266472.31810,55663,2930,262542,259788,51802,51802,0,2679,50317,18033,6070
74,rgb/1548266472.36615.png,1548266472.35147,55660,4798,263804,259106,51725,51725,0,4622,50589,19125,6642
75,rgb/1548266472.39944.png,1548266472.38484,55209,9702,265733,256121,52417,52417,0,9511,51131,21845,8396
76,rgb/1548266472.43295.png,1548266472.41820,55384,6231,263168,257208,51410,51410,0,5784,50303,22590,8021
77,rgb/1548266472.46636.png,1548266472.45157,55209,1385,262964,261639,51621,51621,0,1325,50318,9560,7978
78,rgb/1548266472.49999.png,1548266472.48495,55038,11076,265074,254234,51777,51777,0,10668,50448,15850,8240
79,rgb/1548266472.53312.png,1548266472.51831,53315,5080,263412,258403,49868,49868,0,4963,46076,13329,7329
80,rgb/1548266472.56656.png,1548266472.55169,52262,2298,263246,261062,48448,48448,0,2184,44390,11247,6695
81,rgb/1548266472.60015.png,1548266472.58506,51777,5926,263758,258133,48114,48114,0,5625,43675,10624,6414
82,rgb/1548266472.63407.png,1548266472.61843,50628,2579,264589,262084,47224,47224,0,2176,42768,9837,6000
