method,dataset,sequence,seed,run_id,status,notes,fps_end_to_end,tracking_fps,mapping_fps,tracking_time_ms,mapping_time_ms,gpu_memory_gb,num_gaussians
MonoGS,TUM,f1_desk,0,f1_desk_seed_0,OK,,1.5844,1.7439,8.093,573.4158,123.5641,0.629,37906
MonoGS,TUM,f1_desk,1,f1_desk_seed_1,OK,,1.6028,1.7621,7.9543,567.4962,125.7183,0.6271,39275
MonoGS,TUM,f1_desk,2,f1_desk_seed_2,OK,,1.3819,1.5104,6.8979,662.0839,144.972,0.6192,38317
MonoGS,TUM,f2_xyz,0,f2_xyz_seed_0,OK,,2.484,2.6652,10.6428,375.2087,93.9598,0.4973,32758
MonoGS,TUM,f2_xyz,1,f2_xyz_seed_1,OK,,2.4614,2.6399,10.7053,378.8031,93.4117,0.4763,30571
MonoGS,TUM,f2_xyz,2,f2_xyz_seed_2,OK,,2.4556,2.6323,10.6098,379.8892,94.2522,0.4841,35058
MonoGS,TUM,f3_office,0,f3_office_seed_0,OK,,1.8656,2.0007,8.9172,499.8265,112.1425,1.0372,47248
MonoGS,TUM,f3_office,1,f3_office_seed_1,OK,,1.8647,1.9977,8.8023,500.5703,113.6069,1.0531,50836
MonoGS,TUM,f3_office,2,f3_office_seed_2,OK,,1.8329,1.9627,8.5748,509.515,116.6207,1.0827,52485
MonoGS,TUM,f2_person,0,f2_person_seed_0,OK,,2.2698,2.4351,9.4926,410.6678,105.3457,0.8544,50738
MonoGS,TUM,f2_person,1,f2_person_seed_1,OK,,2.2835,2.4511,9.6035,407.9765,104.129,0.8378,52822
MonoGS,TUM,f2_person,2,f2_person_seed_2,OK,,2.1779,2.3309,9.1716,429.0112,109.0319,0.8601,52543
MonoGS,TUM,f3_st_hf,0,f3_st_hf_seed_0,OK,,1.8566,1.9833,9.7074,504.2148,103.0145,0.485,67146
MonoGS,TUM,f3_st_hf,1,f3_st_hf_seed_1,OK,,1.7996,1.9182,9.5927,521.3338,104.2461,0.4878,100314
MonoGS,TUM,f3_st_hf,2,f3_st_hf_seed_2,OK,,1.8103,1.9328,9.478,517.3833,105.5073,0.51,68473
MonoGS,TUM,f3_st_rpy,0,f3_st_rpy_seed_0,OK,,1.8136,1.9306,11.0862,517.9651,90.2021,0.3891,82799
MonoGS,TUM,f3_st_rpy,1,f3_st_rpy_seed_1,OK,,1.8461,1.969,11.0401,507.8717,90.5789,0.3922,85220
MonoGS,TUM,f3_st_rpy,2,f3_st_rpy_seed_2,OK,,1.7691,1.8827,10.7954,531.1453,92.6321,0.3203,72754
MonoGS,TUM,f3_st_xyz,0,f3_st_xyz_seed_0,OK,,2.0928,2.249,10.4521,444.6346,95.6741,0.3708,53483
MonoGS,TUM,f3_st_xyz,1,f3_st_xyz_seed_1,OK,,2.1004,2.2567,10.2924,443.1158,97.1587,0.3732,53811
MonoGS,TUM,f3_st_xyz,2,f3_st_xyz_seed_2,OK,,2.1238,2.2858,10.5534,437.491,94.7563,0.3529,56802
MonoGS,TUM,f3_wk_hf,0,f3_wk_hf_seed_0,OK,,1.5047,1.5942,9.5256,627.2616,104.9804,0.5754,91133
MonoGS,TUM,f3_wk_hf,1,f3_wk_hf_seed_1,OK,,1.3933,1.4679,8.6419,681.2359,115.7148,0.5697,111027
MonoGS,TUM,f3_wk_hf,2,f3_wk_hf_seed_2,OK,,1.659,1.7604,10.1566,568.0518,98.4586,0.4084,88273
MonoGS,TUM,f3_wk_rpy,0,f3_wk_rpy_seed_0,OK,,1.5899,1.6893,9.9119,591.9717,100.8884,0.3688,59505
MonoGS,TUM,f3_wk_rpy,1,f3_wk_rpy_seed_1,OK,,1.6281,1.7332,9.8159,576.9697,101.8757,0.45,61228
MonoGS,TUM,f3_wk_rpy,2,f3_wk_rpy_seed_2,OK,,1.5954,1.6961,9.9678,589.6019,100.3228,0.4626,55977
MonoGS,TUM,f3_wk_xyz,0,f3_wk_xyz_seed_0,OK,,1.7531,1.8756,10.0946,533.1545,99.0624,0.446,85514
MonoGS,TUM,f3_wk_xyz,1,f3_wk_xyz_seed_1,OK,,1.6836,1.7957,10.2484,556.8802,97.5764,0.3812,89567
MonoGS,TUM,f3_wk_xyz,2,f3_wk_xyz_seed_2,OK,,1.7253,1.8422,10.3124,542.8296,96.9702,0.443,69618
MonoGS,BONN,balloon,0,balloon_seed_0,OK,,1.8908,2.0578,11.8231,485.9476,84.58,0.2274,29589
MonoGS,BONN,balloon,1,balloon_seed_1,OK,,1.899,2.0654,11.9976,484.1699,83.3497,0.2136,26723
MonoGS,BONN,balloon,2,balloon_seed_2,OK,,1.925,2.0986,12.2252,476.5163,81.798,0.199,23482
MonoGS,BONN,balloon2,0,balloon2_seed_0,OK,,1.8639,2.0203,12.0046,494.9834,83.3016,0.2113,24492
MonoGS,BONN,balloon2,1,balloon2_seed_1,OK,,1.8424,2.0024,11.2862,499.3922,88.6035,0.2507,22473
MonoGS,BONN,balloon2,2,balloon2_seed_2,OK,,1.8834,2.0461,11.7463,488.7305,85.1334,0.2341,20530
MonoGS,BONN,crowd,0,crowd_seed_0,OK,,1.8314,1.9601,10.5214,510.1706,95.0441,0.4057,48810
MonoGS,BONN,crowd,1,crowd_seed_1,OK,,1.8255,1.9541,10.4758,511.7573,95.4579,0.3791,33740
MonoGS,BONN,crowd,2,crowd_seed_2,OK,,1.7843,1.909,10.2959,523.8247,97.1259,0.5048,53672
MonoGS,BONN,crowd2,0,crowd2_seed_0,OK,,1.6812,1.7943,9.7674,557.3277,102.3812,0.4644,46420
MonoGS,BONN,crowd2,1,crowd2_seed_1,OK,,1.7419,1.8603,10.2223,537.5389,97.8252,0.4679,61332
MonoGS,BONN,crowd2,2,crowd2_seed_2,OK,,1.6714,1.7831,9.7361,560.8104,102.7102,0.5009,65402
MonoGS,BONN,mv_no_box,0,mv_no_box_seed_0,OK,,2.0233,2.1729,10.4527,460.2196,95.6688,0.2265,26479
MonoGS,BONN,mv_no_box,1,mv_no_box_seed_1,OK,,1.9661,2.1059,10.4436,474.8507,95.7526,0.2235,32287
MonoGS,BONN,mv_no_box,2,mv_no_box_seed_2,OK,,1.9325,2.0745,10.2785,482.0451,97.2903,0.256,25594
MonoGS,BONN,mv_no_box2,0,mv_no_box2_seed_0,OK,,1.8503,1.9735,9.9839,506.7173,100.1616,0.3197,37549
MonoGS,BONN,mv_no_box2,1,mv_no_box2_seed_1,OK,,1.7538,1.8642,9.804,536.4323,101.9993,0.3413,38877
MonoGS,BONN,mv_no_box2,2,mv_no_box2_seed_2,OK,,1.8219,1.9415,9.9655,515.066,100.3458,0.3393,42377
MonoGS,BONN,person_t,0,person_t_seed_0,OK,,1.7186,1.8433,10.2554,542.4948,97.5091,0.3299,37429
MonoGS,BONN,person_t,1,person_t_seed_1,OK,,1.6876,1.8073,10.4769,553.3195,95.4481,0.295,37868
MonoGS,BONN,person_t,2,person_t_seed_2,OK,,1.7291,1.8513,10.6535,540.1632,93.8656,0.2885,36141
MonoGS,BONN,person_t2,0,person_t2_seed_0,OK,,1.8308,1.9726,10.8049,506.9374,92.5503,0.2904,44281
MonoGS,BONN,person_t2,1,person_t2_seed_1,OK,,1.6302,1.7426,10.5163,573.8602,95.0902,0.2976,49170
MonoGS,BONN,person_t2,2,person_t2_seed_2,OK,,1.8108,1.945,10.9065,514.1488,91.6884,0.3016,54611
