method,dataset,sequence,seed,run_id,status,notes,ate_rmse_cm,ate_error_std_cm,rpe_trans_rmse_cm,path_length_ratio,success_by_threshold,success_threshold_cm,keyframe_ate_rmse_cm
MonoGS,TUM,f1_desk,0,f1_desk_seed_0,OK,,1.3859,0.7328,0.817,107.6405,True,5.0,1.4054
MonoGS,TUM,f1_desk,1,f1_desk_seed_1,OK,,1.4758,0.7835,0.8134,107.3568,True,5.0,1.4998
MonoGS,TUM,f1_desk,2,f1_desk_seed_2,OK,,1.5493,0.8231,0.8169,107.2343,True,5.0,1.5995
MonoGS,TUM,f2_xyz,0,f2_xyz_seed_0,OK,,1.526,0.6969,0.2002,131.2807,True,5.0,1.3075
MonoGS,TUM,f2_xyz,1,f2_xyz_seed_1,OK,,1.7795,0.7705,0.2044,132.5049,True,5.0,1.4806
MonoGS,TUM,f2_xyz,2,f2_xyz_seed_2,OK,,1.6814,0.7397,0.2047,132.8416,True,5.0,1.3728
MonoGS,TUM,f3_office,0,f3_office_seed_0,OK,,1.5935,0.7106,0.4516,108.4856,True,5.0,1.4474
MonoGS,TUM,f3_office,1,f3_office_seed_1,OK,,1.6447,0.7118,0.4583,108.6306,True,5.0,1.5007
MonoGS,TUM,f3_office,2,f3_office_seed_2,OK,,1.7004,0.8033,0.4563,108.5773,True,5.0,1.5074
MonoGS,TUM,f2_person,0,f2_person_seed_0,OK,,6.6111,1.0348,0.5468,110.1463,False,5.0,6.4534
MonoGS,TUM,f2_person,1,f2_person_seed_1,OK,,6.4407,1.0066,0.5686,109.5696,False,5.0,6.2711
MonoGS,TUM,f2_person,2,f2_person_seed_2,OK,,5.8492,1.2226,0.6197,110.975,False,5.0,5.6121
MonoGS,TUM,f3_st_hf,0,f3_st_hf_seed_0,OK,,2.3121,1.1226,1.047,164.1724,True,5.0,1.8527
MonoGS,TUM,f3_st_hf,1,f3_st_hf_seed_1,OK,,3.859,2.296,1.2037,170.5862,True,5.0,3.246
MonoGS,TUM,f3_st_hf,2,f3_st_hf_seed_2,OK,,2.2358,1.1131,1.038,162.4417,True,5.0,1.8579
MonoGS,TUM,f3_st_rpy,0,f3_st_rpy_seed_0,OK,,18.9073,8.9144,2.5996,816.9725,False,5.0,20.7441
MonoGS,TUM,f3_st_rpy,1,f3_st_rpy_seed_1,OK,,28.8273,10.4236,2.4185,729.5864,False,5.0,30.0589
MonoGS,TUM,f3_st_rpy,2,f3_st_rpy_seed_2,OK,,9.2277,7.1422,2.2175,693.1211,False,5.0,12.0416
MonoGS,TUM,f3_st_xyz,0,f3_st_xyz_seed_0,OK,,1.6892,0.7603,0.9028,191.3746,True,5.0,1.9156
MonoGS,TUM,f3_st_xyz,1,f3_st_xyz_seed_1,OK,,1.6579,0.7307,0.9016,190.6784,True,5.0,1.7822
MonoGS,TUM,f3_st_xyz,2,f3_st_xyz_seed_2,OK,,1.6187,0.7349,0.902,191.2784,True,5.0,1.7903
MonoGS,TUM,f3_wk_hf,0,f3_wk_hf_seed_0,OK,,33.5317,21.616,3.1673,267.1572,False,5.0,33.147
MonoGS,TUM,f3_wk_hf,1,f3_wk_hf_seed_1,OK,,44.1703,21.3228,3.1855,250.2796,False,5.0,46.5695
MonoGS,TUM,f3_wk_hf,2,f3_wk_hf_seed_2,OK,,55.6481,27.5452,2.6878,194.6671,False,5.0,60.3306
MonoGS,TUM,f3_wk_rpy,0,f3_wk_rpy_seed_0,OK,,64.3688,24.7035,3.0912,598.177,False,5.0,65.2666
MonoGS,TUM,f3_wk_rpy,1,f3_wk_rpy_seed_1,OK,,55.4547,19.9587,3.0645,600.4926,False,5.0,56.1958
MonoGS,TUM,f3_wk_rpy,2,f3_wk_rpy_seed_2,OK,,68.8322,27.3227,2.9633,610.0244,False,5.0,71.6427
MonoGS,TUM,f3_wk_xyz,0,f3_wk_xyz_seed_0,OK,,27.3485,13.7689,2.8035,190.8184,False,5.0,28.5374
MonoGS,TUM,f3_wk_xyz,1,f3_wk_xyz_seed_1,OK,,28.0127,13.1199,2.5591,183.6968,False,5.0,26.3117
MonoGS,TUM,f3_wk_xyz,2,f3_wk_xyz_seed_2,OK,,29.0625,14.0898,2.6,193.5375,False,5.0,28.5964
MonoGS,BONN,balloon,0,balloon_seed_0,OK,,40.1147,14.2116,2.2312,216.607,False,5.0,35.1991
MonoGS,BONN,balloon,1,balloon_seed_1,OK,,39.6539,13.9492,2.283,225.9985,False,5.0,35.4393
MonoGS,BONN,balloon,2,balloon_seed_2,OK,,38.1772,15.4349,2.1801,216.8492,False,5.0,33.9657
MonoGS,BONN,balloon2,0,balloon2_seed_0,OK,,22.7964,12.1903,2.6548,263.9637,False,5.0,24.6238
MonoGS,BONN,balloon2,1,balloon2_seed_1,OK,,23.0906,14.0636,2.7313,280.5449,False,5.0,24.6133
MonoGS,BONN,balloon2,2,balloon2_seed_2,OK,,20.2664,12.4238,2.5812,259.2927,False,5.0,23.5321
MonoGS,BONN,crowd,0,crowd_seed_0,OK,,95.4885,34.3819,3.7746,858.4487,False,5.0,91.4744
MonoGS,BONN,crowd,1,crowd_seed_1,OK,,98.5517,34.5669,3.4217,802.5144,False,5.0,91.4738
MonoGS,BONN,crowd,2,crowd_seed_2,OK,,65.3566,20.6381,3.8394,963.5853,False,5.0,62.3081
MonoGS,BONN,crowd2,0,crowd2_seed_0,OK,,169.8481,77.8137,3.5085,992.5291,False,5.0,169.5329
MonoGS,BONN,crowd2,1,crowd2_seed_1,OK,,102.3918,49.8785,3.7508,980.3614,False,5.0,101.6866
MonoGS,BONN,crowd2,2,crowd2_seed_2,OK,,170.1406,69.9369,3.8126,986.1077,False,5.0,161.2423
MonoGS,BONN,mv_no_box,0,mv_no_box_seed_0,OK,,4.6919,2.2844,1.5054,145.1329,True,5.0,3.9656
MonoGS,BONN,mv_no_box,1,mv_no_box_seed_1,OK,,18.4837,10.6164,2.4044,186.1781,False,5.0,11.0746
MonoGS,BONN,mv_no_box,2,mv_no_box_seed_2,OK,,22.8222,12.7427,2.2612,202.9403,False,5.0,20.1737
MonoGS,BONN,mv_no_box2,0,mv_no_box2_seed_0,OK,,7.6836,3.4502,1.7047,133.836,False,5.0,6.4861
MonoGS,BONN,mv_no_box2,1,mv_no_box2_seed_1,OK,,36.4025,15.6296,1.9461,155.1999,False,5.0,20.4687
MonoGS,BONN,mv_no_box2,2,mv_no_box2_seed_2,OK,,6.4252,3.1058,1.709,131.8326,False,5.0,5.1939
MonoGS,BONN,person_t,0,person_t_seed_0,OK,,54.4515,23.2393,3.5105,273.2144,False,5.0,55.5247
MonoGS,BONN,person_t,1,person_t_seed_1,OK,,36.464,17.6556,3.7317,309.0499,False,5.0,40.6781
MonoGS,BONN,person_t,2,person_t_seed_2,OK,,43.5643,13.2366,3.2225,266.5004,False,5.0,43.1441
MonoGS,BONN,person_t2,0,person_t2_seed_0,OK,,50.3565,20.9143,2.812,251.4709,False,5.0,52.4289
MonoGS,BONN,person_t2,1,person_t2_seed_1,OK,,34.1594,14.2998,2.8984,258.7514,False,5.0,28.5385
MonoGS,BONN,person_t2,2,person_t2_seed_2,OK,,47.028,22.7131,2.5771,225.3057,False,5.0,51.4814
