frame,stem,n_valid,n_removed,removed_frac,depth_med_masked,n_null,n_dmatch,overlap_med,lam_all,logdet_all,lam_gt,logdet_gt,lam_null_med,lam_null_q05,logdet_null_med,logdet_null_q05,lam_ctrl,logdet_ctrl,lam_dmatch_med,lam_dmatch_q05
0,1548266469.88217,261303,6178,0.023643050405085284,3.063999891281128,32,32,0.000439453125,2064110.3066696296,101.95836040572007,2041790.8777202023,101.84709456030802,1993729.3895548931,1915084.395337476,101.80938634341145,101.68527050031825,1877342.2731087822,101.66055794867171,2012404.6101279294,1910159.880402599
1,1548266469.88217,261303,6178,0.023643050405085284,3.063999891281128,32,32,0.000439453125,2108627.3258565697,101.80594831602929,2079849.621982543,101.67945653677661,2043407.8338115178,1944374.4539801462,101.66436811497424,101.5093187793724,1899541.806702853,101.49009911529762,2051506.7798333932,1967198.3380616799
2,1548266469.91552,262217,5734,0.021867384647067122,2.7669999599456787,32,32,0.0,1915334.2827113823,101.40968085569983,1849414.516444997,101.14616474805355,1871462.8283512406,1671458.7017025172,101.2672564270751,101.0959618144763,1904241.7858485251,101.28152467102716,1878660.5188442436,1746305.6995372623
3,1548266469.94889,260917,28591,0.1095789082351859,1.687999963760376,32,32,0.05888346354166667,2068308.0755199592,102.15851780403158,550965.6858511018,99.12489848046692,1260025.4218576243,927314.6174923499,100.64420277463705,100.08266055852219,1791875.852794619,101.46393618399095,1500276.7063547778,1066528.9370695713
4,1548266469.98226,261992,4969,0.01896622797642676,2.7230000495910645,32,32,0.00030110677083333335,1919641.077457045,101.35234179332326,1901698.6047496197,101.17540654799407,1891174.8801965537,1779403.7131079796,101.22494134955828,101.08306485645429,1909966.450568737,101.26451818785631,1895831.0418839008,1796389.4520952008
5,1548266470.01563,262961,5410,0.020573393012652066,2.618000030517578,32,32,0.0,1751618.1022373203,101.21920404136718,1704027.237466858,101.03688391145573,1721648.1751968449,1654548.448022545,101.10786102063813,101.02552592596024,1740731.6426620684,101.14212123645669,1730895.4972854392,1620606.1966761923
6,1548266470.04900,261683,7995,0.03055223304532583,2.5980000495910645,32,32,0.0008235677083333333,1854394.9516801345,101.63545076175349,1757994.448433409,101.05769257621067,1840846.8067260948,1750502.8626600772,101.47692145616853,101.26982387874702,1839154.1115197607,101.4590620622516,1838872.1573606872,1793165.352746228
7,1548266470.08237,261054,23804,0.09118419943766423,1.6959999799728394,32,32,0.009248046874999999,1980826.5570538763,101.8982498894865,576368.6467278064,99.28411294262858,1597881.603632866,1234675.741604683,101.26611170473807,100.78367127466852,1627056.4284928716,101.24712692604277,1566769.251897871,1140072.690428919
8,1548266470.11574,261139,568,0.002175086831151226,2.7669999599456787,32,32,0.0,1912945.1176721675,101.97594024724502,1910276.926774855,101.93252018145579,1911947.4468332967,1906425.6527939003,101.9697951516489,101.95495139431827,1855043.80551225,101.92194906833376,1912278.7980760187,1880311.0777824048
16,1548266470.41606,260592,1298,0.0049809664149321545,2.8589999675750732,32,32,0.0,1802661.581421989,101.61148326631792,1796588.309436635,101.53093938834769,1798282.1778931334,1767928.0962577453,101.57727021308004,101.54817652062528,1796559.3906255614,101.57859934864976,1799174.0646607582,1775099.6589323361
17,1548266470.44942,258846,785,0.003032691252713969,3.3329999446868896,32,32,0.0,1927406.3308813234,102.18198045019466,1924469.921261637,102.15486844413826,1926309.757510821,1923666.0741303307,102.17291444216909,102.14822822199858,1926972.0992764789,102.17410917272348,1926336.1756629944,1923180.797574066
18,1548266470.48279,258035,5690,0.022051272114248066,3.009999990463257,32,32,0.00040364583333333333,1717295.848143654,102.09375834637747,1695347.8090019382,101.94800821381111,1661448.827403317,1577120.469674221,101.95328700059957,101.80657746847533,1626082.062319479,101.8869062570738,1652683.4680782836,1518000.522427177
19,1548266470.51616,260844,7443,0.028534296361043383,2.5980000495910645,32,32,0.00016927083333333334,1564080.9250630464,101.0599647453491,1436239.1012169472,100.70560325235574,1510573.36827238,1421210.0500836095,100.88905792351991,100.76620325555277,1418666.8618474996,100.76940789998355,1490641.3163965368,1419605.5668075676
20,1548266470.54953,260970,6131,0.02349312181476798,2.7890000343322754,32,32,0.0008024088541666667,1754994.6992048463,102.08310359126159,1726963.579540809,101.89375547222878,1691144.5739553007,1581450.597104473,101.92185710006663,101.77226107204973,1718925.32398141,101.97149863608773,1687403.251000674,1565356.1717526063
21,1548266470.61627,260514,5428,0.02083573243664448,2.7009999752044678,32,32,0.0,1481249.5694343166,101.30731936670688,1465036.943153246,101.16231072869425,1440253.885827209,1301162.3076360226,101.1596875291057,100.96731837347147,1371944.7981976864,101.07164194100534,1448757.3946948783,1381589.608531472
22,1548266470.64963,260104,3991,0.015343862455017994,2.6589999198913574,32,32,0.0,1490960.9051654548,101.59905121407763,1468685.9475079842,101.39761126016818,1453161.1510811253,1333629.9060422867,101.48238094959667,101.33417551195642,1450161.424952638,101.45817719147395,1467956.9356104569,1354774.008994795
23,1548266470.68300,256455,4921,0.019188551597746194,2.5980000495910645,32,32,0.0,1620645.0632438525,102.059956895954,1556789.8076667243,101.8647546799414,1598312.3647258752,1463964.9771224004,101.96016315993208,101.81383952676768,1579232.477991599,101.98792799892956,1588759.4582405405,1502903.8834134436
24,1548266470.71637,257369,3473,0.01349424367348049,1.8730000257492065,32,2,0.0,1615413.8144966417,101.93255772007478,1540497.6447919195,101.73427807399527,1610226.612029055,1576557.5429438276,101.90734001528217,101.81533863805396,1612489.7958618728,101.91600835499284,1572195.5080948174,nan
25,1548266470.74974,257712,4401,0.017077202458558392,1.8830000162124634,32,6,0.0,1609893.079332707,102.07613016590281,1526013.9457789112,101.86112203147145,1586805.3886103374,1530928.3592483709,102.0182751763506,101.88914453454444,1529379.5733723366,101.84012577660471,1547048.3543715882,nan
26,1548266470.78311,259258,4144,0.01598407763694852,1.8830000162124634,32,26,0.0,1345230.5588450748,101.27436935863946,1281530.0622918154,101.08129587930284,1336292.4362684654,1222810.8891871742,101.19519136920245,101.0427780326716,1333972.4988655443,101.15984290198597,1294280.8691790244,1228778.8378489092
27,1548266470.81648,257581,6177,0.02398080603771241,1.9359999895095825,32,14,0.0,1517709.367234154,101.9088082168245,1454319.3874305168,101.72906562014215,1495212.0983857177,1360956.4988684058,101.8264071687363,101.59300926670602,1404313.9982849201,101.63382838517498,1330938.4731251057,1275803.236314378
28,1548266470.84985,259334,4188,0.016149058742779582,1.9259999990463257,32,31,0.0,1486088.3058728557,101.77832178152669,1421973.4209335428,101.63674358528657,1473287.4788251198,1336609.0174383218,101.7239155582036,101.52891309134564,1348891.228077179,101.5598629383676,1336314.0766555099,1272008.8748503642
29,1548266470.88322,260219,4230,0.016255538604021996,1.9470000267028809,32,28,0.0,1283619.3757891918,101.00020310094136,1234076.8178961168,100.84396271099351,1270823.0803275474,1207269.542122782,100.94114348428388,100.78388318650413,1195337.713710812,100.80533137384614,1219059.2660277355,1129718.7318638486
30,1548266470.91659,259243,27325,0.10540303884772202,1.8630000352859497,32,32,0.01853678385416667,1350652.0255871695,101.55226550292753,465705.81762698997,98.90921160212764,1112999.8535879338,990132.3986830664,100.68229464969214,100.36510664090783,1167685.5964713956,100.84036826072139,1037747.1331267448,773136.0212941312
31,1548266470.98334,260935,27512,0.10543621974821316,1.8530000448226929,32,32,0.044501953125,1236605.4458746898,100.92591240004185,461517.3716376117,98.52481178235166,929481.1878036358,774128.7926347842,99.95262719513374,99.5059965588105,947285.2858057849,100.04136514990991,934505.7555523112,783720.586020365
32,1548266471.01671,260334,25740,0.09887298624075226,1.8530000448226929,32,32,0.03972330729166666,1240170.926871493,100.89892997909496,457183.4091484417,98.458326442056,947717.1028156757,817205.3714708586,99.98820819584947,99.6046838563374,941367.7698129503,99.77322177448812,889000.691042351,696644.2259525129
33,1548266471.05008,260806,24851,0.09528538453869927,1.843000054359436,32,32,0.04515950520833334,1235693.49852974,101.0998906904973,457456.0538826565,98.60008595291988,940031.7391931601,690688.08446478,100.12388914433329,99.43242401965958,737120.3358901078,99.44090267834657,970895.6366509462,678754.4414557269
34,1548266471.08345,261335,38628,0.14781028182218225,2.0160000324249268,32,32,0.05983561197916667,1149174.4266725741,100.88788187189492,367429.4158597623,97.87064253348069,831013.2408286538,675836.1134243301,99.50184600188408,99.14081371472707,588129.9045505192,98.98020876913938,764026.6624935404,567867.1804223332
35,1548266471.11681,260760,39735,0.15238150023009664,2.0399999618530273,32,32,0.051357421875,1117013.2196380303,100.68324225654865,363060.69215230143,97.72645829778214,837511.1549051467,686722.7656633692,99.54108578728741,99.21406868537889,866899.891540606,99.66900572079082,731251.2392519736,474908.3364605251
36,1548266471.15018,259434,40741,0.15703801352174349,2.0160000324249268,32,32,0.06559407552083332,1221169.5322737326,100.79941809673953,358733.4986318118,97.42065700468225,850604.2743794329,671275.9209916583,99.39479213707094,98.70051636569515,871524.0449784256,99.51251846996162,776554.0828771326,591585.4514949779
37,1548266471.18355,259950,29171,0.11221773417964993,1.8730000257492065,32,27,0.018826497395833336,1288902.4055273763,101.19359690587588,425353.6919669514,98.33479556091848,1057539.6485667678,981755.5241993489,100.27018674353357,100.05548876069994,1101569.0405808375,100.30974792374056,922714.3978807365,777460.2818529115
38,1548266471.21691,260254,29096,0.11179847379867361,1.8530000448226929,32,32,0.031178385416666666,1279221.7893689745,101.1578695559296,417472.89569916675,98.30732776483535,1035672.1954932825,856057.2158935501,100.25863704680161,99.84937298488781,953955.5412016043,100.1597382553289,967612.9126990398,744052.8411093865
39,1548266471.25028,259921,2790,0.010734030724720204,3.177999973297119,32,32,0.0,1302922.829091141,101.09242927521103,1292595.4836493628,101.02073633970937,1280467.1054990166,1243888.9432775923,101.01167503584448,100.94506315492303,1294006.5666177513,101.06792217805585,1285828.7829561434,1262400.626718135
40,1548266471.28365,259657,2952,0.011368844283034927,2.7890000343322754,32,32,0.0,1354748.4611583177,101.40700338592973,1343365.9343685976,101.28137877908267,1345231.752232581,1304953.3969423957,101.34766654101317,101.29377007694201,1352470.725121267,101.38896870761633,1344331.9153527822,1311132.1274351296
46,1548266471.51724,259756,2476,0.009532022359445018,3.0369999408721924,32,32,0.000302734375,1506546.8192654,101.1171830240697,1497717.4124382895,101.01496691965094,1500735.5653787968,1493150.4310169758,101.07469820489166,101.04121455468336,1504313.5934106782,101.0904182556852,1501852.5074572507,1492710.311582212
47,1548266471.55062,260428,12417,0.047679205000998356,2.5789999961853027,32,32,0.005641276041666666,1537671.4992632885,101.13434146713657,1510742.8960759502,100.89385871812972,1512599.4273868958,1473328.0922930527,100.89141984535115,100.79279790929684,1513685.9223489482,100.86349646892661,1515942.0366228702,1482682.3558802833
