frame,stem,n_valid,n_removed,removed_frac,depth_med_masked,n_null,n_dmatch,overlap_med,lam_all,logdet_all,lam_gt,logdet_gt,lam_null_med,lam_null_q05,logdet_null_med,logdet_null_q05,lam_ctrl,logdet_ctrl,lam_dmatch_med,lam_dmatch_q05
1,1548266530.54122,260551,3419,0.0131221910489693,3.063999891281128,32,32,0.0,1756137.0913884905,101.33661280312641,1743874.1607614134,101.23679643141082,1743212.569619689,1717140.7651151447,101.28728017466761,101.22851629090007,1748136.6935967102,101.28564582890603,1750536.795674545,1714416.7537918533
2,1548266530.57459,261947,4466,0.017049250420886668,3.1489999294281006,32,32,0.0003499348958333333,1827746.5613983565,101.65191843397062,1804823.848836758,101.51367193978965,1812826.372865751,1760313.6777739697,101.57424542272561,101.51758983125362,1799490.4540739153,101.57972664474823,1810113.21758252,1768568.1246709311
3,1548266530.60794,259790,5964,0.02295700373378498,3.0920000076293945,32,32,0.0005240885416666666,1799719.8156138558,102.01202883461272,1779942.7789300403,101.8179926844513,1788443.071169037,1705686.5593929165,101.91181589645241,101.82167126505826,1757124.4392365636,101.87949043625686,1785592.145760083,1745298.5939670575
4,1548266530.64131,260975,6010,0.023029025768751796,3.23799991607666,32,32,0.00072265625,1794888.2903835317,101.743011793911,1772660.8373385465,101.58077905270017,1766038.293449704,1722729.2917380254,101.63443767203039,101.54655486672902,1750342.2087433655,101.63098262245578,1779921.4359488562,1743714.4818076596
5,1548266530.67466,262979,6520,0.02479285418227311,3.0920000076293945,32,32,0.000703125,1721027.2386780386,100.92495597790477,1699326.8798768506,100.76850176860441,1700496.401364957,1595563.9505104823,100.82087575822382,100.67459797478044,1699538.2573132394,100.83523940550751,1700958.0965455123,1665709.1101034961
6,1548266530.74138,260652,6200,0.023786504611512667,3.3329999446868896,32,32,0.00043131510416666665,1619986.7637023071,101.84839627131002,1593592.6697534646,101.65169889489405,1595300.3276292216,1542730.9783738335,101.74876076783764,101.6737755786557,1608594.778282579,101.7868991958958,1596055.5682540028,1560032.9070675115
7,1548266530.77475,259431,1598,0.006159633968184219,3.365000009536743,32,32,0.0,1784755.1394386855,102.44875806747241,1771717.0853080063,102.37328336873628,1780123.918820431,1753881.955220184,102.42507483602611,102.39081962075565,1780250.948170654,102.42977824782497,1779921.0359552237,1764995.977574464
8,1548266530.80811,261395,4714,0.018034009831863654,3.0369999408721924,32,32,2.9296875e-05,1808708.2217641356,101.60775885844716,1782513.8845922472,101.4717334753133,1790388.4304964833,1620565.9246339612,101.52331691110592,101.31933254789323,1803878.6001459542,101.55788177028853,1798869.2427356895,1759528.7663226663
9,1548266530.84148,260011,3560,0.013691728426874248,3.1489999294281006,32,32,0.0,1995980.6339851618,102.7585241290239,1972984.1802457934,102.64145353870778,1983458.6057386324,1947213.687649,102.7013826463558,102.6140614501092,1989481.409021008,102.67687770841798,1981429.713174755,1929499.5438582709
10,1548266530.87485,258401,1527,0.005909419855186319,3.4679999351501465,32,32,0.0,2028437.1598515613,102.93050251928892,2020256.8285234992,102.87562836400174,2019265.247685716,2009853.821009688,102.89918983878091,102.87464647786156,2016097.6052609803,102.89298274102603,2020141.1095110828,1992518.5751779382
11,1548266530.90822,260230,616,0.0023671367636321715,3.3989999294281006,32,32,0.0,1932555.813832218,102.45137811442805,1931475.814792275,102.4376198116438,1931222.149824701,1926208.1898354797,102.4439528681105,102.42989123112191,1931253.8612818574,102.4338243612669,1931755.796802471,1926421.418392634
16,1548266531.10844,260118,1017,0.003909764030170923,3.4679999351501465,32,32,0.0,1702847.2505313384,102.09469410101813,1689746.7990726877,102.0374361119705,1700266.84133371,1686882.9034970845,102.0741776500137,102.05157963418712,1698869.6348505667,102.07137410386636,1698431.8368999446,1678717.5537291947
20,1548266531.27527,262143,2402,0.009162937785864966,3.134500026702881,32,32,0.0,1663153.1012958093,102.04293743771322,1647801.440833094,101.93578273942748,1653163.8801870875,1608453.1738789983,102.00574407447778,101.9589897063017,1660740.1082236893,102.02608635016477,1655936.6538227801,1630587.7066592956
21,1548266531.30863,260953,2063,0.007905638180055413,3.2079999446868896,32,32,0.0,1752860.1310330497,101.84572467724783,1748298.1871842006,101.79255297724575,1743865.9690758474,1720866.1838954499,101.80847614454406,101.75682570575627,1744404.214596119,101.81422706944039,1746388.074610354,1730998.0227732735
22,1548266531.34198,263016,4742,0.01802932141010433,3.1489999294281006,32,32,0.0004947916666666666,1504193.0454545496,101.2438125889092,1493568.899692144,101.10812328564242,1491767.5767199155,1477507.7708411356,101.16340418072622,101.10533527378308,1498982.1088715214,101.20853605732154,1494299.4059185232,1480798.4167569974
23,1548266531.37534,263468,5105,0.0193761671246603,3.009999990463257,32,32,0.0007194010416666667,1404939.9671877439,100.83898227152106,1386249.62074721,100.67337243259162,1394111.543687479,1384593.8914968255,100.75754687117994,100.68595167144075,1387030.135600888,100.70022109023301,1395290.9948331919,1386307.182008982
24,1548266531.44208,264110,51975,0.1967930029154519,1.6799999475479126,32,32,0.1181884765625,1467774.1286974906,100.98198970774354,347471.18588767684,96.5828827454902,911080.8437882364,616583.5705983123,98.97577070247061,98.09160843651885,1069798.6311237537,99.54597505700741,912179.7484988075,433666.19635762216
25,1548266531.47545,263348,53721,0.2039924358643316,1.6799999475479126,32,32,0.08999837239583333,1501031.635904373,101.20334873271743,358922.4225254391,96.94522759292593,1013964.2366759196,688373.0801717932,99.60608963643202,98.48168500939083,1066740.6859856641,99.7567669526415,787909.1649037497,556879.3488666064
26,1548266531.50882,263433,52995,0.20117069615424035,1.6799999475479126,32,32,0.100400390625,1584844.946696539,101.31904043420585,418637.95501811994,97.38116187074705,1054911.5437597064,661258.7614851341,99.63093765924812,98.2875212025586,998298.0237000462,99.37122634470302,958918.7776546717,720248.5902350913
27,1548266531.54220,263381,52681,0.20001822454922716,1.6799999475479126,32,32,0.10347493489583334,1718883.0676180045,101.71905097644182,480880.10608828266,97.84522733535603,1170100.9767657928,791219.1578984399,99.96004304641957,98.55990899243628,1022096.3734467794,99.50477696793286,1108659.1316420278,603987.7844150965
28,1548266531.57557,262527,52795,0.20110312463099034,1.6799999475479126,32,32,0.10555989583333333,1638053.603943362,101.6045721047987,465219.5694288632,97.8612715865242,1144436.2692963118,756476.3592808186,99.95482897421121,98.73385824142983,1236267.108585311,100.33871159117982,1094745.0041536782,593970.4388858972
29,1548266531.64230,261827,51833,0.19796659626394528,1.6799999475479126,32,32,0.08864095052083333,2192446.5457838746,102.33000210309736,1205359.8460573154,99.73321973697678,1671678.246200319,1420399.3573274836,100.95634152627508,100.16962881975903,1600924.0268954376,100.7323353757196,1587137.561670395,1457291.5899680618
30,1548266531.67567,260532,54349,0.20860777179002962,1.6799999475479126,32,32,0.095302734375,2511724.421482932,102.61970654316534,1409386.2236836886,99.8876840506039,1876974.6700767404,1617788.091672072,101.19304378672788,100.23151881076457,1755466.2400160308,100.6181256803461,1979739.4157442902,1660702.130256764
31,1548266531.70904,260451,51827,0.19898944523154066,1.6799999475479126,32,32,0.10837076822916666,2795305.0963070206,102.9211043844785,1763900.3912016007,100.63558572821447,2181542.3399181077,2029981.8659607477,101.60371474615447,101.25962592865514,2375615.305523851,101.9280408502735,2170352.8676898913,1918023.8073162588
32,1548266531.74239,261428,52510,0.20085836253193995,1.6799999475479126,32,32,0.10662109375,2996360.816171657,102.97794865906275,1982289.2721519277,100.8608499452299,2385077.236320158,2231943.013271508,101.67797460494899,101.19598026253642,2391853.305341501,101.49826716494456,2416456.023747083,2264881.4871286727
33,1548266531.77576,259876,53692,0.20660622758546385,1.6959999799728394,32,32,0.09728515625,3547932.526319968,103.58688473941484,2312646.11639553,101.28925499985104,2827050.4514674293,2613559.3446632656,102.17815012542607,101.83304371857984,3054120.902398789,102.56520378364641,2886798.688445658,2628806.5899760043
34,1548266531.80913,258964,57541,0.22219690767828734,1.6319999694824219,32,32,0.120380859375,3876356.490600818,103.67095237584564,508669.9122514319,98.88103822521059,2626495.7690354288,1157928.8773583912,101.90946887638506,100.21926969811551,2821409.4474611236,101.87363858476297,2322742.0963060246,957178.3650073559
35,1548266531.87584,257549,63102,0.24500968747694613,1.6089999675750732,32,32,0.10989583333333333,4365275.910892627,103.87365856202358,373015.9900780655,98.48314944348013,2858443.0431472687,1387714.5288404005,102.21114077802403,100.55459939749917,3356690.071713501,102.2392670397083,2573646.334187966,1360661.9687715014
