frame,stem,n_valid,n_removed,removed_frac,depth_med_masked,n_null,n_dmatch,overlap_med,lam_all,logdet_all,lam_gt,logdet_gt,lam_null_med,lam_null_q05,logdet_null_med,logdet_null_q05,lam_ctrl,logdet_ctrl,lam_dmatch_med,lam_dmatch_q05
1,1548266065.40983,253596,560,0.002208236722976703,2.680000066757202,32,32,0.0,700177.2661080149,97.14879193780604,698390.9477659382,97.10762492394483,699658.5297438832,698531.0115733235,97.14163650499523,97.12468252419956,699396.3041116999,97.13651587731874,699691.885744998,697316.0896938825
2,1548266065.47656,252945,5097,0.020150625630077686,2.8350000381469727,32,32,0.00011881510416666666,642875.0902131784,96.87354595092347,623464.9155047447,96.60128548985004,635217.8142975178,621202.4373381428,96.78934606965801,96.68523789509538,632042.8114167284,96.79335131296368,634586.33406573,624533.0044588262
3,1548266065.54330,253554,2619,0.010329160652168769,2.7009999752044678,32,32,0.0,661783.5707230084,97.22411955543033,651029.9747744305,97.12446510907492,656785.059944162,645874.6589513195,97.1901937770351,97.09457242257348,648392.5035161,97.1226689285096,654589.8627732858,641879.9147082486
4,1548266065.61005,252645,1545,0.0061153001246808765,2.6589999198913574,32,32,0.0,662384.2514872825,97.24502102513812,657264.2002395121,97.1418809792913,659825.8163478443,650544.273584299,97.22139388265761,97.15855465749665,659965.8388815664,97.22643378127415,659279.6266009021,653451.4731384717
5,1548266065.67678,252592,2212,0.008757205295496295,2.7669999599456787,32,32,0.0,753460.3062793952,97.57836893596271,747390.2295072647,97.46256489631602,748758.3085799946,740793.8365814431,97.54280177455422,97.48925752041971,751890.0201151778,97.55775639889515,749568.9537419875,740121.7495180806
6,1548266065.74351,254202,1806,0.007104586116552978,2.6389999389648438,32,32,0.0,640321.7819098554,96.95392782741945,633192.4554102775,96.84309732327104,637490.791264884,629841.5905707247,96.92793507671595,96.87428619902221,636651.792440565,96.92392503191954,637700.4151525216,627968.7479120941
7,1548266065.81027,254174,3017,0.011869821460888998,2.7230000495910645,32,32,0.0,605802.8055361682,96.41970557283506,596866.451754198,96.27619050641655,599382.2744146474,592572.05420783,96.36902519046836,96.2916665436681,599621.4310415704,96.36625808217633,600523.8069790214,591191.2576127986
8,1548266065.87699,254470,161209,0.6335088615553897,1.9470000267028809,32,32,0.5059016927083333,653943.6559330353,96.7328858578799,20203.344578378918,84.49601933826517,147857.42359620822,66246.48549101956,89.85799200533899,88.01055423909467,23382.526894001658,84.8550746339618,152267.95160466392,29581.359199634313
9,1548266065.94373,255447,166034,0.6499743586732277,1.9589999914169312,32,32,0.5099951171874999,676849.6127539218,96.77423561865018,17770.498925295407,85.211088773537,162773.52447108092,87162.47631898538,90.20720587197252,88.3185084482369,73114.91200436484,88.54237391464832,174615.40005241567,34588.260689480194
11,1548266066.07720,255980,1116,0.004359715602781467,2.5409998893737793,32,32,0.0,594231.8375600401,97.04167886719513,589325.9579426881,96.95337182670589,592310.6470560504,584560.4513087138,97.01804613318671,96.97600106922874,592509.5468259205,97.00642662678653,592338.2577402231,588575.3065936577
