frame,stem,n_valid,n_removed,removed_frac,depth_med_masked,n_null,n_dmatch,overlap_med,lam_all,logdet_all,lam_gt,logdet_gt,lam_null_med,lam_null_q05,logdet_null_med,logdet_null_q05,lam_ctrl,logdet_ctrl,lam_dmatch_med,lam_dmatch_q05
3,1548266187.36786,267331,5630,0.0210600341898246,2.3489999771118164,32,32,0.0020491536458333336,1971984.138525319,100.45299543227377,1929624.4959114823,100.10908450880751,1954376.6734230618,1934104.1327889385,100.32033989684192,100.20962903009408,1944680.2666274186,100.36064650261612,1951548.9292285196,1923328.0078275905
4,1548266187.43460,266149,3366,0.012647051087924433,3.2690000534057617,32,32,0.0,1882828.5716837607,100.6144313085056,1868513.7846790245,100.55966201672709,1860065.8831053153,1743051.305033207,100.53538374748383,100.43229381845202,1874376.9367823221,100.60146104814166,1862189.0945278914,1845699.7196486844
5,1548266187.50133,265803,9351,0.03518018983984379,3.0369999408721924,32,32,0.0042903645833333335,2159687.1825562827,101.6761820846593,2103416.0561564043,101.2509816649417,2094208.4903639602,2033661.0277613145,101.44338017198172,101.30469774161011,2037347.4845139708,101.25714384043053,2084857.8710194342,2025611.561726539
6,1548266187.60142,265981,7188,0.027024486711456835,2.4670000076293945,32,32,0.0007291666666666667,1794103.5337313905,101.11602447449292,1735862.720950385,100.69780973337423,1767239.1112311413,1725353.7579080816,101.00756522695096,100.82048521850061,1784165.8225771019,101.05806775774994,1765718.7599391588,1744289.2984896703
7,1548266187.66815,265669,9775,0.03679390519782135,2.4149999618530273,32,32,0.0033219401041666664,1825084.9092867638,101.5636679332376,1765927.5244617953,101.07074831711951,1778244.0210234136,1739785.2327273928,101.36806995952188,101.12892442187201,1794271.3529158777,101.33461031719828,1783483.6172901697,1744836.7373730687
8,1548266187.73488,266165,10513,0.0394980557173182,2.484999895095825,32,32,0.005393880208333333,1713764.6212330433,101.33920715803004,1627514.5870482181,100.7484389378164,1653740.4984728754,1609466.9111088754,101.07002220345937,100.96702442878812,1640332.9866334868,101.10571515252661,1661131.5087377047,1597980.1438262828
9,1548266187.83499,264743,7181,0.027124418775944972,2.365000009536743,32,32,0.0022119140625,1647290.6933067704,101.31671324039215,1614766.0704560154,100.95539322342833,1605606.1057584765,1546840.7592646512,101.11517167021039,101.03096398529478,1602429.7892553569,101.12984187393633,1617376.6352574644,1580450.0457539824
10,1548266187.90174,262893,12615,0.04798530200499823,2.559999942779541,32,32,0.006359049479166667,2009521.858990098,102.450149203461,1948166.306204893,101.86262121978046,1947295.2983454051,1884225.688163243,102.17246606075224,101.99108761059516,1944117.437883069,102.1882342664247,1939875.374211568,1892465.5882397871
11,1548266187.96848,263093,9923,0.03771670093845142,2.5220000743865967,32,32,0.004383138020833333,2169177.301099596,102.76299730406481,2094780.2266769898,102.21107383320641,2105946.988548547,2056905.8798845678,102.56068839189116,102.44710533511456,2098127.0163734504,102.58648296887887,2137131.333234272,2037251.289017101
12,1548266188.06860,263080,9558,0.036331154021590394,2.5220000743865967,32,32,0.004734700520833333,2323301.041682386,102.795559582172,2248435.5403858195,102.25325324005418,2282836.4024726553,2210981.451116031,102.58849683958461,102.46032805799194,2281129.670666102,102.60515284216251,2270566.742787918,2208658.981186252
