frame,stem,n_valid,n_removed,removed_frac,depth_med_masked,n_null,n_dmatch,overlap_med,lam_all,logdet_all,lam_gt,logdet_gt,lam_null_med,lam_null_q05,logdet_null_med,logdet_null_q05,lam_ctrl,logdet_ctrl,lam_dmatch_med,lam_dmatch_q05
18,1548339349.56218,256076,2152,0.008403755135194238,1.6469999551773071,32,32,0.0,2818701.6294698548,102.70551715816495,2764557.444630179,102.58343502824204,2805048.5478241895,2761267.381582443,102.66159431723506,102.58595374784507,2794083.217288907,102.64206064087766,2799212.283984049,2755291.777130254
21,1548339349.72907,256344,1979,0.007720094872515058,1.5230000019073486,32,32,0.0,3039356.009054927,102.88610532571417,2899605.351588651,102.73248812239076,3028232.284181117,2977100.1600596798,102.84623366365841,102.79702924884708,2988313.831162012,102.7939832089948,3019509.015842238,2875640.1902197674
22,1548339349.76244,256694,3155,0.012290898891286902,1.5089999437332153,32,32,0.0,2965392.437071755,102.68071495503989,2800487.7424510927,102.47739504560018,2949349.0231982563,2860380.850364954,102.60998822217229,102.55180722689886,2962423.597524841,102.61962455431743,2949054.0804203553,2781557.87739768
23,1548339349.79581,257486,3709,0.014404666661488392,1.5360000133514404,32,32,0.0,2758684.6660523564,102.2621496263732,2500811.168306803,102.01197286682506,2736801.1582949385,2648612.9967459543,102.15687648320409,102.09453826758605,2732827.911877368,102.20353136185837,2740358.148263301,2583703.314887893
24,1548339349.86255,259406,2146,0.008272746197081024,1.4769999980926514,32,32,0.0,2602496.229605017,101.8358211183602,2481587.741846584,101.69644872472125,2588179.1723898817,2504159.296561163,101.78731652047091,101.70768836252464,2594646.1808876083,101.81688692444968,2587366.3049316807,2506467.196826436
25,1548339349.89591,259755,2775,0.010683143731593231,1.4889999628067017,32,32,0.0,2985713.29952502,102.6815485458563,2812271.8617405035,102.51419244164994,2968583.115980707,2799321.0563773694,102.61277484634736,102.52460173903222,2972819.2545847534,102.62920098106555,2965381.777649941,2942522.5226768134
26,1548339349.96263,260477,1987,0.007628312672520031,1.496000051498413,32,32,0.0,3252180.609470325,102.94884891079951,3133558.879739942,102.82223860684647,3228073.054973021,3048253.596906917,102.898406404058,102.80291723352936,3226528.8341357666,102.90738241641361,3231517.2841978217,3032907.6764852824
27,1548339349.99600,260239,2981,0.01145485496024808,1.4149999618530273,32,32,0.0,3622213.8689897284,103.42771684149065,3117822.078205351,103.11235886394842,3589631.209496538,3452634.380200655,103.36317335675567,103.25334402282733,3529757.367914533,103.30868152495258,3595232.780693397,3567781.6580986017
28,1548339350.06274,259327,1155,0.004453836276207259,1.5230000019073486,32,32,0.0,4230057.890321321,104.28926214063418,4138239.2290967624,104.21713513343072,4222138.443537755,4100461.626497416,104.26183534914372,104.21289651767174,4219320.543043504,104.24090476437277,4220880.38833884,4195845.488960005
29,1548339350.09611,259103,1278,0.004932401400215359,1.5720000267028809,32,32,0.0,4502312.655973883,104.64911721304074,4398650.861422586,104.55143506212616,4489851.776706541,4433839.6656001285,104.62404385897617,104.5854345327138,4495340.414938497,104.61720390479465,4490127.527826598,4459874.011961474
