frame,stem,n_valid,n_removed,removed_frac,depth_med_masked,n_null,n_dmatch,overlap_med,lam_all,logdet_all,lam_gt,logdet_gt,lam_null_med,lam_null_q05,logdet_null_med,logdet_null_q05,lam_ctrl,logdet_ctrl,lam_dmatch_med,lam_dmatch_q05
1,1548265882.54513,262248,2052,0.007824654525487324,3.0369999408721924,32,32,0.0,1839209.046847536,102.29557975226587,1832166.8281374134,102.20769397489882,1823417.8948193276,1791096.6913344122,102.24952767308403,102.12861674340584,1816135.8496736833,102.17441985966224,1827466.6865002275,1808392.889530167
2,1548265882.57849,264106,4743,0.017958698401399437,2.6389999389648438,32,32,0.00029622395833333334,1496384.7681277315,100.52787070832392,1485608.7492619273,100.4434747452172,1478187.1226974465,1431600.0764380528,100.42000974692823,100.3855685328335,1461876.078979977,100.46018378320602,1487294.8085739005,1451449.0954405551
3,1548265882.63875,266262,9724,0.036520419736950825,2.7009999752044678,32,32,0.00020833333333333332,1858985.330496647,101.30892758259849,1802131.4011869987,100.94204514902418,1821086.9991982568,1791005.8458460064,101.14982220882474,101.04492552539682,1803145.831150743,101.06804355979688,1816230.3009560863,1801768.6131304165
4,1548265882.67210,266079,7995,0.03004746710563404,2.6389999389648438,32,32,0.0009912109375,1505318.9705516568,100.60425040935837,1471279.8400977098,100.30223058111413,1475557.6336718383,1437848.423693995,100.43177491596205,100.35939738985402,1479877.2539321012,100.49142081823676,1474706.2424495681,1446487.5387956863
5,1548265882.73881,264266,3459,0.013089084483058736,3.3329999446868896,32,32,0.0,2054957.4083608957,102.68834406398511,2037851.4817045126,102.55970429747774,2027095.8160608741,2006425.3587407998,102.60843970426828,102.55545009883194,2028270.5197057617,102.6010393530313,2032153.6126328965,2007963.087759222
6,1548265882.77217,264970,5912,0.0223119598445107,2.5789999961853027,32,32,0.0,2146921.0842525084,102.38059721832538,2128612.0373995705,102.13193824250678,2111377.1893624784,1984470.7344822937,102.2736177136706,102.13671592805147,2101484.5978199663,102.2205274795065,2124804.4166878336,2050389.0230017523
7,1548265882.83890,264242,5377,0.0203487712021556,2.5789999961853027,32,32,0.0,2269811.7199656693,102.90695695392736,2239369.7116070664,102.66201480855895,2259923.389510971,2235974.0589503916,102.84452299327745,102.72625123835054,2258329.469047313,102.85577939255296,2255794.8720739414,2235759.687978768
8,1548265882.87227,263130,3081,0.011709041158362786,3.009999990463257,32,32,7.486979166666666e-05,2222257.3562674806,103.07750627131688,2202975.772843626,102.91925385673653,2205475.6859515375,2171658.5266857445,103.02337768515343,102.97304596569575,2197317.9610429737,103.04212693186541,2208103.3670603167,2184796.4323142716
9,1548265882.93898,262961,2345,0.008917672202341792,3.433000087738037,32,32,0.0,2364422.037715902,103.21843414508518,2306917.5496709817,103.10407724115845,2344270.195170928,2320846.8523183228,103.16788101236236,103.12860422227921,2358332.3679365297,103.1914774744717,2336940.654803463,2321230.1313783093
10,1548265882.97235,264073,7940,0.030067443472070222,2.680000066757202,32,32,0.0004703776041666667,2119028.5752348895,102.69325101951853,2085879.3304856685,102.4237554238406,2082685.5759840482,2051998.6257858968,102.53384420114607,102.443539539846,2064343.6231747898,102.44096351908044,2083274.0544852742,2051224.9048425688
11,1548265883.00572,265260,7262,0.02737691321722084,2.6389999389648438,32,32,0.0,1839436.7818637826,102.08903740369675,1804475.5902927925,101.89427763985043,1809700.7819477553,1793278.6446331511,101.94999544081898,101.83628796722138,1782589.269032592,101.80984583975025,1807948.2693714248,1786094.0690715213
12,1548265883.07245,264397,7222,0.027314984663214786,2.6589999198913574,32,32,8.7890625e-05,2249819.016543808,102.9636703421942,2225251.089655182,102.72311634303838,2213918.485011719,2161694.7941580946,102.85094454412548,102.74725162922452,2219789.566149437,102.82847375893364,2213541.1381148286,2172451.8071761876
13,1548265883.10583,262831,5035,0.01915679657270261,3.503000020980835,32,32,0.0,2239695.1452260017,103.09087098946185,2228101.7355034566,102.97631175121991,2196114.0178217264,1990027.5090138202,102.98749801450438,102.83158087326929,2159112.739169527,102.87709624346554,2190460.1617728285,2143298.6031578733
16,1548265883.27269,263792,1042,0.003950081882695457,3.5390000343322754,32,32,0.0,2262883.060283104,102.83420219309357,2249543.396929695,102.7929467144413,2257418.5432300353,2238181.0142314597,102.81374694588675,102.7854362649394,2253915.1273906585,102.81070833381993,2252972.2831877028,2221037.186303293
18,1548265883.37280,264282,1354,0.005123315246592655,3.6530001163482666,32,32,0.0,2172055.241029946,102.64825724756676,2128059.305793307,102.57285626727389,2161751.487970612,2146241.542758393,102.6205884985456,102.6017424640641,2161551.2297827145,102.60454083553424,2158799.867067131,2120693.47863167
19,1548265883.40617,263284,929,0.0035285091384208685,3.1489999294281006,32,32,0.0,2269745.887344969,103.09413645994866,2264071.882847924,103.02065625722625,2266037.5457933987,2251755.7132117245,103.08185144843293,103.05534892013891,2258286.562141288,103.0587694561784,2265904.691509151,2224745.413566866
20,1548265883.47291,264794,3179,0.01200555903834679,3.177999973297119,32,32,8.138020833333334e-05,2119734.847145487,102.15827581102917,2100288.2793568345,102.04343618956929,2097136.6957081766,2067983.2231039898,102.08387642389046,102.0443528307269,2072946.8601979394,102.09595452019906,2101094.5770857274,2066264.4367629187
21,1548265883.50628,263018,2833,0.010771125930544677,3.6530001163482666,32,32,0.0,2354802.183154878,103.20717892726732,2313745.338306702,103.05279187438335,2332627.54078645,2305523.746495886,103.13752455596446,103.07925798874943,2317176.935576878,103.13468171997602,2331903.386926604,2317033.1186613264
22,1548265883.53965,264406,5858,0.022155321740051286,3.3329999446868896,32,32,0.00018391927083333335,2178666.607725177,102.07397057097725,2153931.5959683084,101.91022193546117,2137352.1758510047,2097420.523789824,101.95447677989097,101.87679448187686,2113290.498039792,101.90287968924423,2146761.633946307,2107243.5462236716
23,1548265883.60637,263459,5090,0.019319894177082582,3.614000082015991,32,32,0.00014973958333333332,2134093.1015165597,102.29783457627917,2102562.980614004,102.16351877545898,2095956.9491098505,2021952.2560620261,102.19633773686901,102.11639090331671,2127929.026670717,102.2490160717268,2092321.5268614562,2050842.1626045678
24,1548265883.63974,265053,41752,0.15752321233866434,1.9359999895095825,32,32,0.05653645833333333,1811819.3700364935,101.2035562177245,1200307.1545394715,99.01411912125262,1452740.7464152174,1284152.6307482277,100.12917223893768,99.42582825259139,1335128.9376647382,99.38281372190741,1419913.9760071342,1270824.3001474708
25,1548265883.70648,264675,5554,0.020984225937470482,3.2690000534057617,32,32,0.0005973307291666667,2060930.4996467654,101.74467362282036,2041377.9881483254,101.59176796825818,2017578.1242693919,1980534.3122699147,101.63455679062142,101.55913253015541,2020023.7736243762,101.62216906388532,2023482.4774435149,1997442.102869164
26,1548265883.73985,265994,6896,0.025925396813461957,3.2690000534057617,32,32,0.0004866536458333333,1594068.780702543,100.59401835533768,1563661.8048898021,100.39043648429754,1559748.8027721948,1525947.0625871597,100.4612704960736,100.40403847146845,1574305.6925334272,100.51570788460162,1560249.8112395678,1536003.036370729
27,1548265883.80658,263817,6106,0.023144831455137464,3.23799991607666,32,32,0.0011083984375,2077512.8743505846,102.09071057241479,2053404.6085412547,101.89266399167063,2030830.0590743856,1972467.5948976337,101.95989883881853,101.85931878791668,2035687.2585559776,101.94635900733913,2034475.1190081052,1975123.5022079723
28,1548265883.83995,262264,6314,0.024074977884879358,3.4679999351501465,32,32,0.0008024088541666668,2184450.6508731176,102.81277855730266,2147154.3157759598,102.59952262911702,2141463.414130001,2099252.9336952707,102.68606981998015,102.64381366526378,2150439.2238103775,102.72247999168226,2142679.896005775,2103749.566629809
29,1548265883.90669,260227,4151,0.01595145776571993,3.3989999294281006,32,32,0.0002734375,2230596.9547266024,102.85788286814164,2194065.8766756156,102.68630793076147,2197941.996942159,2168860.2497151894,102.76983623695813,102.71418636864614,2200295.5854997654,102.7409236986891,2197904.4955361597,2172667.8959135497
