frame,stem,n_valid,n_removed,removed_frac,depth_med_masked,n_null,n_dmatch,overlap_med,lam_all,logdet_all,lam_gt,logdet_gt,lam_null_med,lam_null_q05,logdet_null_med,logdet_null_q05,lam_ctrl,logdet_ctrl,lam_dmatch_med,lam_dmatch_q05
0,1548265919.49424,268439,1698,0.006325459415360659,3.119999885559082,32,32,0.0,1599829.764062477,102.01123436573764,1590755.9649058937,101.97635406055376,1593514.7823202168,1568061.8384873986,101.9825961235585,101.89783291799138,1581753.798045587,101.90921882378412,1595410.7358165025,1589601.0371086886
2,1548265919.56097,264696,14785,0.055856529754888626,2.559999942779541,32,32,0.0088671875,2286034.8727798713,103.96520190244209,2084471.3754578228,103.34943473439161,2182341.8222047077,2151295.024687288,103.60014967497045,103.49541689925174,2134630.476385889,103.43808554388613,2178158.8735158807,2158704.7558485107
3,1548265919.62736,268150,3762,0.01402946112250606,2.618000030517578,32,32,0.00016276041666666666,1480913.4296694696,100.6826465070207,1468749.1660125349,100.51894109822994,1473577.9684239104,1459023.2300855147,100.59825509641195,100.55193455603357,1470463.8423976447,100.60615265830849,1472157.4682165072,1458381.9237909343
4,1548265919.66073,266891,6881,0.02578206084131724,2.7009999752044678,32,32,0.00111328125,1743340.762581953,102.10273188201671,1625164.3138436764,101.69771926988938,1708818.2690838738,1688922.3028853685,101.9629145423729,101.8944635505716,1726075.9510711834,102.02296712989124,1707043.0463721426,1682502.623043403
5,1548265919.72746,266490,7600,0.028518893767120718,2.680000066757202,32,32,0.0005110677083333333,1914255.8202905052,102.94977773448942,1839642.2728170604,102.62739540875953,1888859.7524812738,1861126.2428813,102.81633883121575,102.73927248026143,1880661.3039816052,102.79859699593004,1884094.4924594564,1864024.447657284
6,1548265919.76081,269270,14382,0.05341107438630371,2.5789999961853027,32,32,0.0134375,1293543.696554861,100.77685087904501,1243221.8014790704,100.36771453478661,1253248.1471488376,1235726.5292750385,100.50420090221571,100.37711459497235,1246580.649695538,100.4156869475369,1253930.0373909841,1237429.441936823
7,1548265919.79418,266974,5089,0.019061781297055144,2.7009999752044678,32,32,0.0017692057291666665,1801905.0245811988,102.63678400923061,1746350.8849210904,102.39175492847436,1774783.5534174992,1753414.7776295277,102.53417958574731,102.47027912562412,1767662.3470722623,102.48004451160324,1773575.5975895873,1748488.4035367426
8,1548265919.86091,269216,14451,0.053678087483656246,2.5789999961853027,32,32,0.00529296875,1253655.1153742054,100.50994972435285,1206776.0928018943,100.04764697730317,1210516.5752799981,1179457.297820887,100.25127304187909,100.06611125209548,1214141.2527753122,100.26543972322992,1215750.870807179,1195705.6618326185
9,1548265919.89429,266285,15642,0.058741573877612335,2.5789999961853027,32,32,0.013398437499999999,1829097.907523334,103.27490347491637,1715317.717963571,102.74103181770484,1754252.1629843926,1737825.1831682285,102.95556560150828,102.80833259547533,1770632.0148989207,103.06862131778387,1757534.6231869333,1733744.4101603094
10,1548265919.96103,266100,3917,0.014720030063885758,2.7669999599456787,32,32,6.022135416666667e-05,1812063.4109382522,103.22401618941505,1790085.3775843666,103.07189964418892,1794609.7298566634,1784373.6664894556,103.16206673943975,103.08761892118959,1792207.3083146324,103.17773630673365,1795490.971634109,1787608.09269312
