frame,stem,n_removed,tex_gt,tex_null_med,tex_ratio,lam_all,lam_gt,n_plain,n_tex,lam_plain_med,lam_plain_q05,lam_tex_med,lam_tex_q05,loss_gt,loss_pred_at_tex_gt,loss_resid_sd
1,1548266530.54122,3419,33.06300354003906,9.47506046295166,3.4894767869100556,1756137.0913884905,1743874.1607614134,32,3,1748640.1994433687,1708547.4735837346,1748455.2338920727,nan,0.006982900530494107,0.009112161551810116,0.008911230696880055
2,1548266530.57459,4466,51.2047004699707,15.263218402862549,3.3547774210167556,1827746.5613983565,1804823.848836758,32,10,1813014.7212430108,1771150.646852875,1813009.2977354564,1782097.7448250502,0.012541515900356015,0.04058732943221048,0.009116162254770206
3,1548266530.60794,5964,93.13581848144531,27.72987461090088,3.3586815587270173,1799719.8156138558,1779942.7789300403,32,5,1782103.295721827,1668754.3682788806,1773707.6344531898,nan,0.010988953120499967,0.058742354087520744,0.02455767242809174
4,1548266530.64131,6010,56.25632858276367,22.161069869995117,2.5385204285164806,1794888.2903835317,1772660.8373385465,32,32,1781100.8882257792,1700767.4480933773,1759921.1451201532,1630554.5183136412,0.0123837528853874,0.03889440824596785,0.014343079622047991
5,1548266530.67466,6520,46.52557373046875,15.622272491455078,2.978156587392575,1721027.2386780386,1699326.8798768506,32,27,1679805.490646243,1629961.3107659973,1699465.7049103782,1623030.8750981481,0.0126089572050333,0.056002507242502365,0.0189022574171224
6,1548266530.74138,6200,78.94981384277344,28.560976028442383,2.7642547567054936,1619986.7637023071,1593592.6697534646,32,3,1591330.4120845757,1560730.9036132554,1594610.373782616,nan,0.016292783706776448,0.039562730000125765,0.011499154649113216
7,1548266530.77475,1598,35.47996520996094,7.010516166687012,5.060963325148118,1784755.1394386855,1771717.0853080063,32,8,1776488.0045093629,1735346.285220756,1773253.7391378325,1767692.4916500698,0.007305234114512671,0.010967294382628345,0.008395542870826719
8,1548266530.80811,4714,49.096282958984375,16.61069965362549,2.955702287246432,1808708.2217641356,1782513.8845922472,32,11,1792077.8826561691,1723521.9002342287,1787423.736094794,1779179.307511149,0.014482345386996442,0.01892050899754337,0.017516744632774993
9,1548266530.84148,3560,49.78753662109375,17.140273094177246,2.9047108145556426,1995980.6339851618,1972984.1802457934,32,23,1970506.519986354,1904105.8178971119,1961712.1002370373,1870658.4292427679,0.011521381193691171,0.04656524030495591,0.012404064199719575
10,1548266530.87485,1527,20.388471603393555,7.471815347671509,2.7287172734732192,2028437.1598515613,2020256.8285234992,32,32,2021963.6692928504,2009922.4190489282,2015198.2427096704,1992396.647086444,0.004032824624777054,0.006615666876054948,0.0029611113582733647
11,1548266530.90822,616,11.659078598022461,1.82400244474411,6.392030137688832,1932555.813832218,1931475.814792275,32,9,1930359.5941212368,1914737.9707844746,1918709.4871358862,1898862.909941472,0.0005588449410945939,0.008744856274045573,0.0027960487773923005
16,1548266531.10844,1017,12.772073745727539,3.6288161277770996,3.519625491069264,1702847.2505313384,1689746.7990726877,32,23,1700255.862130649,1690205.3589727236,1694655.333024759,1683722.5174828235,0.007693262830569703,0.006171607361705659,0.0020457674150949623
20,1548266531.27527,2402,49.42692565917969,12.241185188293457,4.037756548806063,1663153.1012958093,1647801.440833094,32,0,1650857.5263561248,1613146.4438524193,nan,nan,0.009230455362620682,0.015264988186148298,0.010409063939724489
