frame,stem,n_removed,tex_gt,tex_null_med,tex_ratio,lam_all,lam_gt,n_plain,n_tex,lam_plain_med,lam_plain_q05,lam_tex_med,lam_tex_q05,loss_gt,loss_pred_at_tex_gt,loss_resid_sd
1,1548266065.40983,560,5.448078155517578,0.2518339455127716,21.633613151016934,700177.2661080149,698390.9477659382,32,31,699830.401619033,697582.2765081882,699205.2382555564,697145.0913789558,0.0025512372773911496,0.0015148587380409237,0.0015364005666263488
2,1548266065.47656,5097,48.26114273071289,11.151458263397217,4.327787594302528,642875.0902131784,623464.9155047447,32,3,634308.4742590382,625269.5562490248,622510.2656446156,nan,0.030192762177170707,0.03338762285268181,0.006707366457076978
3,1548266065.54330,2619,20.812763214111328,6.008270740509033,3.4640188688214852,661783.5707230084,651029.9747744305,32,32,657563.7081177399,646502.5528108061,652780.790981493,637322.8095602416,0.016249415102326248,0.02154622997797145,0.004296486772520296
4,1548266065.61005,1545,19.680932998657227,3.418183922767639,5.757716215200599,662384.2514872825,657264.2002395121,32,12,659800.3671825354,648882.6328451238,657902.8304518405,649758.9910646228,0.007729729739609614,0.015445408808742553,0.005061538323547988
5,1548266065.67678,2212,25.243450164794922,4.5100908279418945,5.597104610044927,753460.3062793952,747390.2295072647,32,4,748491.5574156728,733796.608614358,743953.3855034234,nan,0.008056266164975234,0.03218472110885808,0.010399724454722127
6,1548266065.74351,1806,20.894790649414062,4.412789821624756,4.735052312489417,640321.7819098554,633192.4554102775,32,5,636751.1755477434,632966.6628219524,634720.9936349372,nan,0.011133974668663726,0.01240080606079522,0.003788943627002081
7,1548266065.81027,3017,23.58884620666504,6.2114481925964355,3.7976403368832914,605802.8055361682,596866.451754198,32,5,600402.5476499716,590372.9100094896,592685.0105794278,nan,0.014751258495841801,0.02968490711058815,0.004792536966514061
8,1548266065.87699,161209,374.72332763671875,340.7757263183594,1.099618601609684,653943.6559330353,20203.344578378918,32,32,110766.60607746549,85062.17100632453,110766.60607746549,85062.17100632453,0.9691053741479407,0.8400993979474098,0.0590051933053371
9,1548266065.94373,166034,397.36932373046875,333.0622253417969,1.1930783304011083,676849.6127539218,17770.498925295407,32,32,172664.6486681287,77824.1625374954,172460.06867276842,77824.1625374954,0.9737452772514829,0.8059373498716262,0.05248073294364278
11,1548266066.07720,1116,13.386906623840332,1.8287102580070496,7.320408777292879,594231.8375600401,589325.9579426881,32,13,592085.672414834,588765.7855200924,590604.5418533806,584617.924866278,0.008255834351615698,0.006347295730893663,0.0028257044843849385
