frame,stem,n_removed,tex_gt,tex_null_med,tex_ratio,lam_all,lam_gt,n_plain,n_tex,lam_plain_med,lam_plain_q05,lam_tex_med,lam_tex_q05,loss_gt,loss_pred_at_tex_gt,loss_resid_sd
3,1548266187.36786,5630,18.546022415161133,12.84144926071167,1.4442312575966458,1971984.138525319,1929624.4959114823,32,32,1950743.1481656064,1928964.7189077171,1945582.773022014,1905234.306571169,0.021480721769655764,0.013948161096412486,0.006608122912381061
4,1548266187.43460,3366,6.928400993347168,6.965967893600464,0.9946070810507456,1882828.5716837607,1868513.7846790245,32,32,1868199.1277463445,1834594.7111865138,1865085.9791877642,1842897.279054711,0.007602809528185039,0.010739078867226266,0.010191492021218405
5,1548266187.50133,9351,27.525381088256836,24.472644805908203,1.124740758776168,2159687.1825562827,2103416.0561564043,32,32,2086997.2614750753,2032784.3282849996,2085937.212539487,2035940.7329047697,0.026055220799742762,0.03816403371932604,0.009946189207551293
6,1548266187.60142,7188,24.0331974029541,14.58758544921875,1.6475103084480112,1794103.5337313905,1735862.720950385,32,32,1767250.9483182067,1716341.226095709,1749223.5601197616,1716157.3356195418,0.03246234773300716,0.031506051438712435,0.007889780055047174
7,1548266187.66815,9775,32.678794860839844,19.76220703125,1.6536004713018555,1825084.9092867638,1765927.5244617953,32,32,1782648.0214685812,1742229.185667208,1764622.1690996764,1733091.2327431736,0.03241349732494736,0.03566700772893456,0.010998856530281279
8,1548266187.73488,10513,37.134830474853516,19.93568992614746,1.8627311426101099,1713764.6212330433,1627514.5870482181,32,32,1669309.3205410661,1618466.4813028881,1635486.6809387854,1597877.6578539375,0.05032781813570686,0.05182737667948141,0.010611266048384924
9,1548266187.83499,7181,38.00332260131836,19.428603172302246,1.9560501732567452,1647290.6933067704,1614766.0704560154,32,32,1606313.7221186776,1543298.925981287,1606521.337396814,1575022.5804270157,0.019744312878660852,0.04908083258893069,0.014476939079517115
10,1548266187.90174,12615,84.52130126953125,42.24146842956543,2.0009082167790724,2009521.858990098,1948166.306204893,32,32,1945307.6044371668,1875321.5952291745,1903366.1183242095,1837667.319143963,0.030532413723550977,0.055269564054304915,0.016307873269720292
11,1548266187.96848,9923,89.80499267578125,36.529293060302734,2.4584377400222537,2169177.301099596,2094780.2266769898,32,10,2123372.272080481,2014340.7944683842,2108524.453939408,2022249.0494705085,0.034297369046270676,0.06896068585675838,0.018765483422254613
12,1548266188.06860,9558,85.45170593261719,38.539161682128906,2.2172694527562133,2323301.041682386,2248435.5403858195,32,24,2270071.14710861,2229460.343196882,2263275.1780185215,2248221.679097468,0.03222376263489024,0.030601675176260872,0.02442093494959681
13,1548266188.13534,9259,60.63494110107422,41.321821212768555,1.4673830756118236,1734597.7199416042,1689800.736537171,32,32,1674929.6253910675,1600298.020209003,1685009.9906670623,1608040.0909535107,0.025825574938459606,0.041214722431373044,0.019281626556110397
14,1548266188.20206,9802,63.45952224731445,40.75302505493164,1.5571732935598368,1612206.8521172125,1561822.2589076522,32,32,1551457.989299377,1504363.3393040216,1549729.0677454122,1533702.3545585596,0.031251940868129435,0.04082709826098565,0.013638167730474842
15,1548266188.30214,11279,82.03099060058594,45.44894981384277,1.8049039842852663,1585775.850059123,1509342.5198381832,32,32,1530087.680760057,1403190.0035691285,1520034.1206055882,1403040.93987897,0.04819932793029369,0.11193241414324853,0.020993997922523
16,1548266188.36888,8852,63.20252990722656,36.19991493225098,1.7459303433588624,1637173.7053497874,1583483.4540712358,32,32,1586897.4471780257,1519400.352411329,1581571.0813930433,1529504.598694183,0.03279447446725292,0.045417809443978434,0.016216093234241346
17,1548266188.43561,2435,25.200260162353516,10.757657527923584,2.3425415892764163,1767499.5499499768,1738856.1600513975,32,32,1751280.0269394172,1711571.1795365491,1715572.2567522936,1687131.934739766,0.016205599542806093,0.026808435881094966,0.0053776841908400866
18,1548266188.53572,2141,32.287681579589844,10.808551788330078,2.9872347574307447,1788370.1978717202,1750866.918693874,32,28,1778801.7118624116,1727025.042923845,1745269.3447919106,1695352.6182964162,0.02097064647044422,0.02721072759497572,0.0066290795343666754
19,1548266188.60246,10602,105.6082763671875,44.34426498413086,2.3815543318844212,1659275.849443639,1593479.6793966594,32,9,1611287.2946099322,1550032.0340158853,1599336.0369300952,1534410.8915179605,0.03965354529148435,0.052188892775892434,0.013969292149198287
20,1548266188.66921,8036,64.47310638427734,22.310447692871094,2.8898167921963562,1701092.6429277894,1665292.7325237961,32,32,1662783.4424077352,1562585.1150109046,1630779.2574147359,1568730.2894966619,0.021045244392085105,0.06988484715384874,0.013490270398637183
21,1548266188.76932,1356,6.739689350128174,5.08449912071228,1.3255365356782716,1780521.6421063002,1775043.7747612535,32,32,1775983.3899212193,1760378.0773413714,1775140.0941216801,1766280.3745566062,0.003076551958428597,0.005007562224188306,0.003483993080774361
22,1548266188.83605,987,14.420397758483887,2.7629529237747192,5.219197777276234,1675752.7101630466,1666962.8084194874,32,18,1673072.0760087292,1664139.0101003826,1662581.5898776222,1653192.4830907558,0.005245345384346067,0.007176678101978631,0.0014626566665949877
26,1548266189.13635,2999,16.637800216674805,12.377169609069824,1.344233030828215,1178892.6608994238,1158753.2849330534,32,32,1165432.7231350278,1141809.855569486,1164036.414993132,1124385.5177875864,0.0170832991283576,0.01374303906307603,0.00826413214824979
29,1548266189.40330,3153,41.463645935058594,14.429944515228271,2.873444585410637,1065182.4398554128,1029934.162987142,32,32,1052095.094635163,1028066.9080009826,1039446.8975861946,1023792.343767861,0.033091304878303696,0.029212428228910944,0.006846791191831491
30,1548266189.47006,5830,57.70155334472656,28.164597511291504,2.048726360161666,946354.9176361486,908487.4180997199,32,32,922392.5277788738,905350.2172027547,913468.5492164837,903961.8513240019,0.040014056915365304,0.041700058250456466,0.008784093544581161
