frame,stem,n_removed,tex_gt,tex_null_med,tex_ratio,lam_all,lam_gt,n_plain,n_tex,lam_plain_med,lam_plain_q05,lam_tex_med,lam_tex_q05,loss_gt,loss_pred_at_tex_gt,loss_resid_sd
18,1548339349.56218,2152,29.70022964477539,16.319215774536133,1.8199544668756982,2818701.6294698548,2764557.444630179,32,32,2798703.5557417506,2767336.8574830885,2801121.2996394234,2753845.9225998735,0.01920890961767352,0.011736155458196097,0.006786738411510028
21,1548339349.72907,1979,23.123584747314453,15.327558517456055,1.5086280519483752,3039356.009054927,2899605.351588651,32,32,3028233.5468571447,2960371.523593722,3028233.5468571447,2988611.823480262,0.04598035144613777,0.012697637830640967,0.01268985558517603
22,1548339349.76244,3155,23.07199478149414,21.872628211975098,1.054834131403669,2965392.437071755,2800487.7424510927,32,32,2937864.5689492347,2823688.138536499,2942011.868109254,2884190.4520358965,0.05560973736869079,0.014950447211120498,0.014990672398138302
23,1548339349.79581,3709,39.485443115234375,21.416600227355957,1.8436839972760306,2758684.6660523564,2500811.168306803,32,32,2733050.1249231203,2641179.9045036137,2735334.912027035,2391251.4711977467,0.09347697506673258,0.013000285729037667,0.013126175824215188
24,1548339349.86255,2146,9.267210006713867,5.39450478553772,1.7178981899429568,2602496.229605017,2481587.741846584,32,22,2591184.12563238,2385220.9438977484,2584253.8962814035,2465202.1773568764,0.04645866010602595,0.017832293591268655,0.022564227711845887
25,1548339349.89591,2775,14.302647590637207,18.160338401794434,0.7875760503022319,2985713.29952502,2812271.8617405035,32,32,2968577.0372984335,2877020.81535046,2970392.0282962667,2912878.2908355803,0.058090452895161904,0.008539523770271219,0.011419794022849305
26,1548339349.96263,1987,9.325672149658203,7.268714904785156,1.2829877456768741,3252180.609470325,3133558.879739942,32,32,3234390.0507566454,3116154.246250746,3231075.3407385927,3196527.697667336,0.036474520936800814,0.009812883795943387,0.011076821257038695
27,1548339349.99600,2981,51.68738555908203,17.970090866088867,2.876300734606782,3622213.8689897284,3117822.078205351,32,32,3599557.2107956186,3453683.2941657975,3570796.7558244914,3144948.677839626,0.139249588518929,0.037068621636760904,0.013138944135870165
28,1548339350.06274,1155,21.306350708007812,13.739274501800537,1.5507624296476212,4230057.890321321,4138239.2290967624,32,32,4216926.171240944,4122219.860076582,4215373.931439633,4075451.3559229206,0.02170624223244,0.010213284580009715,0.0077129768753349095
29,1548339350.09611,1278,41.73394775390625,8.578454494476318,4.864972796764127,4502312.655973883,4398650.861422586,32,16,4493901.95178088,4468495.899939934,4449649.042619042,4298279.749806495,0.023024121706375467,0.013368125492827402,0.0033471785434381514
30,1548339350.16285,1262,39.58667755126953,13.169054508209229,3.006037944986277,3848136.1550424052,3658931.2164271977,32,1,3835075.268536705,3739616.7853425364,3818996.399388433,nan,0.04916794286690784,0.02469949344973039,0.010340657390613737
31,1548339350.19622,1724,43.38097381591797,11.377985000610352,3.81271146108831,4144695.748404038,3801440.5043801614,32,9,4118638.0692519033,4018923.5580019276,4031787.0733550424,3786333.752599858,0.08281795935348235,0.03136202621964646,0.01139646799535813
33,1548339350.29633,2498,36.744346618652344,13.688502311706543,2.684321906219661,3696242.2132593403,3458053.5119747915,32,32,3679784.2086095484,3622607.6655121082,3655068.8686462315,3469737.597408961,0.06444077188180652,0.017423903447648423,0.011466103042161382
34,1548339350.36307,1615,42.32111740112305,7.182904243469238,5.891922816540648,3698706.993690692,3543812.975650629,32,2,3688024.3746896684,3662116.897441896,3568857.5536396103,nan,0.04187788281263782,0.012710026511329424,0.0030926405161027753
35,1548339350.39644,1158,40.85453796386719,2.730353832244873,14.96309287147481,4057454.5536740883,3990110.0556211327,32,1,4054122.6266505835,4009262.9482757123,3976744.0659501716,nan,0.016597720852344233,0.011840612552469088,0.004484487379292102
37,1548339350.49655,2730,65.90798950195312,19.870813369750977,3.3168239404977657,4874281.455989346,4515042.496831381,32,5,4841507.555451922,4630310.146982914,4545298.699345473,nan,0.07370090594923384,0.062155050940412765,0.012513214789918096
38,1548339350.56329,2162,6.821776866912842,9.97679090499878,0.6837646425460168,4744341.811874749,4667388.38847563,32,32,4721296.8015242815,4616683.254555973,4733197.159091942,4686252.297065686,0.01622004198907212,0.004505706375572015,0.007159227108953545
39,1548339350.59666,2253,21.726810455322266,9.61959981918335,2.2585981603927836,4806711.7902613785,4736954.64904782,32,32,4779503.670265732,4612264.598399515,4774135.232332889,4666813.084140811,0.01451244515115091,0.01754391854345099,0.010784256852952492
40,1548339350.66337,680,35.562049865722656,1.8346830010414124,19.383212165554887,5812740.400435833,5713400.071909294,32,3,5809783.486677526,5782325.581506703,5782468.963150451,nan,0.01709010237565234,0.016173956781978444,0.006468621774673773
42,1548339350.76347,1106,8.215583801269531,5.337953567504883,1.5390886596096298,4808642.389468865,4727000.786311635,32,32,4797872.869072808,4743802.651591109,4782808.406068004,4734657.764053816,0.01697809829569119,0.00741747984254708,0.0032436196206771513
43,1548339350.79685,2907,5.546836853027344,17.127296447753906,0.32385945265487376,4289483.613030982,4170822.515105338,32,19,4244143.962551067,3999886.857582816,4272509.313804576,4176432.0809456273,0.02766325941079828,0.0011901816211194703,0.019052733791293082
44,1548339350.83022,169287,966.06591796875,912.0009460449219,1.0592817059656483,4188663.2176772314,313649.1402333515,32,32,984161.1548262836,433690.8037047601,984161.1548262836,433690.8037047601,0.9251195133307276,0.8763445523641011,0.05309604783502705
45,1548339350.89695,4391,16.433961868286133,32.39578056335449,0.5072871090772829,4408539.265068508,4253181.580170341,32,32,4366150.959685018,4076764.238955186,4375807.253631435,4317167.065566777,0.03524017266425605,0.005562585238675373,0.021329430594365685
46,1548339350.93032,186066,1257.1534423828125,1196.032958984375,1.0511026748379397,4692788.89834539,221066.609096956,32,32,819489.6152497777,546698.7136170361,819489.6152497777,546698.7136170361,0.9528922749593742,0.9586374454117728,0.03564234297265382
47,1548339350.99706,4029,36.17454528808594,20.970001220703125,1.7250616682068558,4716416.335279154,4520215.782196352,32,32,4670883.280858958,4236918.025393984,4628085.459806286,4336458.36795049,0.04159949824938192,0.04501742175908634,0.02675146162909659
48,1548339351.03043,1922,3.443991184234619,6.331644058227539,0.5439331637348419,4775143.441658545,4738459.703121757,32,32,4764759.138829002,4680778.476099099,4765746.50495504,4731098.529244279,0.007682227557136323,0.0022027265223273007,0.008505659874246098
49,1548339351.09716,8651,68.80467224121094,55.90861701965332,1.230663105421197,4344027.274305499,3737794.96514726,32,32,4247058.028701948,3911015.1239975146,4259390.360506925,3704323.5956633915,0.1395553643836549,0.04474777811227776,0.03567868407431047
50,1548339351.13051,223657,1126.7110595703125,1059.8927001953125,1.0630425696513308,4006995.012173651,89356.31813904615,32,32,480546.27503292455,275220.5040048291,480546.27503292455,275220.5040048291,0.9776999178018508,0.9558728262927354,0.023979607515954463
51,1548339351.19725,961,2.269319772720337,2.169840693473816,1.0458462593801112,3657147.609470899,3651659.024026852,32,32,3648959.169139902,3625275.8469262663,3650993.82578038,3640844.2929697097,0.0015007831321419696,0.0029257717252117277,0.0026963948126015338
52,1548339351.23062,6505,40.56425857543945,11.423962593078613,3.550804569337083,3167191.840479516,2825175.6830877615,32,32,3109382.1224183114,2515626.3870759853,3069388.491727893,2833045.0135441027,0.10798719326707185,0.0558662826130637,0.0497892875784004
53,1548339351.29735,1825,5.676259994506836,6.794225692749023,0.8354535529434487,3757056.090710632,3701756.1691128532,32,32,3706058.931006067,3570982.6836905703,3723345.894610271,3700606.708220509,0.014718950226617178,0.011760759211006059,0.006354645794318326
54,1548339351.33072,159019,874.335693359375,766.6817016601562,1.1404154963736672,3645144.596131778,169542.52724884177,32,32,430689.8067128678,311751.3688401384,415856.03500388673,280694.77333067893,0.9534881202164764,0.9028148810727677,0.015688842078516094
55,1548339351.39747,3370,14.246976852416992,19.4247989654541,0.7334426923930811,3202115.132454434,3172012.125115301,32,32,3173537.34870683,3142829.654252369,3178120.2113921246,3140783.4637726326,0.009400975946813883,0.008935611929045245,0.00378898958841714
56,1548339351.43084,4685,18.863590240478516,14.85666275024414,1.2697057581231377,3351441.7980510714,3298235.425431859,32,32,3299396.903975384,3282578.9678099826,3297039.783317981,3286767.607761591,0.015875666601208094,0.016871481119387327,0.0029183179034362075
57,1548339351.49760,5438,20.564062118530273,16.506947994232178,1.245782207935454,3199671.2806693427,3158361.4387195725,32,32,3160177.7914013807,3140039.0766235953,3159460.377973759,3140769.342953312,0.012910651853314303,0.013156995593986224,0.0031227386159100225
58,1548339351.53097,130009,610.14306640625,585.052490234375,1.0428860257680872,2820933.8426158787,256301.56440005847,32,32,443274.6340403446,286645.47169281886,443274.6340403446,286645.47169281886,0.9091430077061333,0.8715361240889362,0.024711701218819743
59,1548339351.59771,124689,567.1429443359375,513.54443359375,1.1043697628404006,2626873.6276572575,272106.27600328997,32,32,559975.9339310483,315130.6685801059,559975.9339310483,315130.6685801059,0.8964144018431658,0.8630405256822671,0.031194516174927217
60,1548339351.63108,128799,632.6119995117188,600.9670104980469,1.0526567822540647,2506625.0457441993,321380.8365334271,32,32,405433.57981679216,337985.8991069391,405433.57981679216,337985.8991069391,0.8717874310403647,0.843625099922788,0.023079564929522466
61,1548339351.69782,95289,539.4359741210938,508.17047119140625,1.061525619259981,2230431.558290315,462318.06853492203,32,32,717808.449962026,442932.15749847825,717808.449962026,442932.15749847825,0.7927225936090587,0.7174912059913972,0.055743844401201094
62,1548339351.73116,97009,565.3238525390625,547.7986145019531,1.03199211822221,2102918.2451100294,456889.1061697904,32,32,607576.4649120675,424965.81488867855,607576.4649120675,424965.81488867855,0.782735678273653,0.7346611982452367,0.04398527312906473
63,1548339351.79788,1624,6.471627235412598,1.9667093753814697,3.2905864569630876,1833659.6019361594,1816045.8836490128,32,32,1829267.9473996018,1815204.411975128,1827877.1699167253,1806298.1770230148,0.00960577321360423,0.004482252215253345,0.0035133425587821226
