frame,stem,n_removed,tex_gt,tex_null_med,tex_ratio,lam_all,lam_gt,n_plain,n_tex,lam_plain_med,lam_plain_q05,lam_tex_med,lam_tex_q05,loss_gt,loss_pred_at_tex_gt,loss_resid_sd
1,1548265882.54513,2052,20.55356216430664,9.78729248046875,2.1000253344142683,1839209.046847536,1832166.8281374134,32,32,1832981.6696079313,1804283.0396581232,1822258.8659126326,1806543.9599862916,0.0038289387072085734,0.008733506290333402,0.006455990668756461
2,1548265882.57849,4743,12.891927719116211,10.116600513458252,1.274333972362149,1496384.7681277315,1485608.7492619273,32,32,1482441.794847309,1438229.655614723,1485160.0565206264,1431309.4803215666,0.00720136898966639,0.01538040170909896,0.013972117891558769
3,1548265882.63875,9724,70.25827026367188,33.3226318359375,2.1084250070518245,1858985.330496647,1802131.4011869987,32,31,1817267.0761005012,1795287.49261511,1809765.1997772271,1795596.4044761448,0.03058331250761359,0.03460800592914154,0.00692358176132028
4,1548265882.67210,7995,42.07416915893555,20.915363311767578,2.011639412224,1505318.9705516568,1471279.8400977098,32,32,1473298.5048783992,1437823.014272274,1468362.7444341928,1442352.1378486427,0.02261256990700955,0.030762164419926706,0.011010829552312779
5,1548265882.73881,3459,40.84210968017578,18.17473602294922,2.247191355550061,2054957.4083608957,2037851.4817045126,32,32,2031581.9171244828,2014049.9134872458,2023360.288304367,2003607.1025651805,0.008324224427613491,0.016051441773148593,0.007382188588146716
6,1548265882.77217,5912,49.60115432739258,30.95524024963379,1.6023508112807936,2146921.0842525084,2128612.0373995705,32,32,2121626.041003705,2017131.5056234843,2099997.0294954744,1894227.152700837,0.008528048369934593,0.02634812050584931,0.0183308469143017
7,1548265882.83890,5377,54.95824432373047,25.796401977539062,2.1304616190886865,2269811.7199656693,2239369.7116070664,32,32,2255687.1692747213,2239423.953718195,2243593.50505548,2230950.065820915,0.013411688771729158,0.010428500874263186,0.00219115423872595
8,1548265882.87227,3081,42.22137451171875,16.16733741760254,2.611523061660686,2222257.3562674806,2202975.772843626,32,32,2204642.581412649,2187772.03894921,2199752.885282424,2195643.0967185237,0.00867657536129851,0.010897356543147944,0.004247575965201976
9,1548265882.93898,2345,39.42670822143555,17.043746948242188,2.313265289678678,2364422.037715902,2306917.5496709817,32,27,2341885.4682712285,2317584.99810697,2329537.7876899564,2311553.5048660953,0.024320737638053536,0.014821446352549665,0.0047460657750589
10,1548265882.97235,7940,65.76045227050781,44.703895568847656,1.471022859053331,2119028.5752348895,2085879.3304856685,32,32,2076655.0776675995,2049693.993815482,2078779.3562738644,2059555.0608191758,0.01564360440280821,0.020463117750334422,0.007441160960064552
11,1548265883.00572,7262,42.19451904296875,34.891876220703125,1.2092934978925725,1839436.7818637826,1804475.5902927925,32,32,1805970.9105435256,1788447.5600160246,1805079.9133307692,1789109.4093332067,0.01900646541142126,0.019510159551156536,0.005226144284577884
12,1548265883.07245,7222,74.2375717163086,44.46803665161133,1.6694591735166826,2249819.016543808,2225251.089655182,32,32,2213735.709893436,2178176.420566723,2201173.5067451377,2151228.6608144664,0.01091995698674797,0.023070216699378615,0.008043901357652162
13,1548265883.10583,5035,63.35106658935547,29.90022373199463,2.118748914964368,2239695.1452260017,2228101.7355034566,32,32,2203347.4775978243,2069242.7874515054,2181005.864727501,2012563.0270676345,0.0051763338181345375,0.03453062572996157,0.02448541952542516
16,1548265883.27269,1042,16.493858337402344,6.499593019485474,2.537675557216357,2262883.060283104,2249543.396929695,32,29,2258157.9583358997,2231998.9191759764,2243143.5103660184,2207916.424545299,0.005894985731936253,0.007814468933100132,0.004905148281001299
18,1548265883.37280,1354,18.35095977783203,7.574577569961548,2.4227040529106616,2172055.241029946,2128059.305793307,32,32,2155188.5036302437,2135921.365675995,2157611.3369696713,2109230.355121482,0.020255440287870963,0.01098583337687871,0.0046585166668904904
