frame,stem,n_valid,n_removed,sigma,all_dt_mm,all_dr_mrad,all_sdt_mm,all_sdr_mrad,all_tx,all_ty,all_tz,robust_dt_mm,robust_dr_mrad,robust_sdt_mm,robust_sdr_mrad,robust_tx,robust_ty,robust_tz,oracle_dt_mm,oracle_dr_mrad,oracle_sdt_mm,oracle_sdr_mrad,oracle_tx,oracle_ty,oracle_tz,shift_dt_mm,shift_dr_mrad,shift_sdt_mm,shift_sdr_mrad,shift_tx,shift_ty,shift_tz,mrcs_dt_mm,mrcs_dr_mrad,mrcs_sdt_mm,mrcs_sdr_mrad,mrcs_tx,mrcs_ty,mrcs_tz
10,1548266187.46797,264226,2305,0.03242669376881864,4.246683515268845,7.365888070624767,0.05067223063257041,0.024588512925014152,-3.2656550809591347,1.284536569231158,2.391606901932212,3.205366317564589,4.3193791597289914,0.09570238961152755,0.04437967324113477,-0.9414584949597169,1.3590521259792496,2.7460893013369105,4.2802769313513975,7.504250583600392,0.051181802869059725,0.02494962002668196,-3.4424418019367753,1.2016080729643361,2.241986415731405,4.1821511263322595,7.324962746594225,0.050951175183567746,0.024675546079986996,-3.177446482367912,1.288493777450554,2.4241444349022685,5.943634568183022,4.770935947701825,0.0984127863824621,0.04504465423190227,2.531418959497656,4.150558780179508,3.4192940417388478
12,1548266187.53470,265835,3888,0.03981895270381565,2.713388914303471,3.2099143474837772,0.051668601892439214,0.024377093789241043,2.4158465477334934,-0.4839041544413715,-1.1366624949313278,1.69287978623822,3.43439549079639,0.09415332317997499,0.043790438668431825,1.3935459293206027,0.7660573184440013,-0.5805410393644239,3.3167660011602975,2.9932438934938133,0.05203323785564759,0.02461743095838955,3.0704344042509732,-0.6273138696370455,-1.086207431665719,3.0202375500750263,3.0983080198329445,0.05198271485758631,0.024569863571058382,2.715603646806752,-0.5461560765065441,-1.211083895393176,3.811235092834485,3.6465460309435924,0.09744070731657829,0.045468295635356946,2.2413795945060158,-1.0479704768878528,2.898877080139236
15,1548266187.63478,265693,2396,0.041777332968768954,6.891969133093358,3.3955800499829123,0.06267384603582307,0.029434449170841908,0.8933045224803312,-6.660905975349113,-1.527605037038788,3.3153909753879214,4.063133604634852,0.11566957823533844,0.052130162071273745,-3.08248050406842,-1.220616649065786,-0.015041866413006269,6.946003351557237,3.2081824767396023,0.06306712144714859,0.02968973241867836,1.1603706856417701,-6.712810744122344,-1.3559772657914397,6.906260845104963,3.3757979055907783,0.06285041083338117,0.02957586271537045,0.884145368261118,-6.6765769147031016,-1.5238573320362456,7.74228152254751,5.772614834143359,0.11552896956774537,0.059026179924679734,-4.2476662054789065,-5.752385393404307,-2.9682178604276683
17,1548266187.70152,265962,7468,0.052812653553593526,3.906697995120427,3.1050285322302247,0.07687698673239753,0.03617909897455208,1.7580207724202201,-3.2625427889188314,1.2359072535148847,4.548163403322878,4.51944986707486,0.1373836526997475,0.06155913330017756,-1.0802147645371183,1.2411303535906515,4.2401087074740795,4.5104483221136125,2.707029743876113,0.07794865627405977,0.03700941590092374,2.561752980952802,-3.181411050458945,1.9131621622472688,3.9169719097827684,3.090603193958989,0.07819968251016618,0.037129742075912686,1.7786502802106359,-3.33302302805642,1.2474814799676408,3.358557128501612,4.2895640581400505,0.1297790824160514,0.060367219446569594,1.5713438281177239,0.8585892432503989,2.8414096977767986
19,1548266187.76825,265476,9253,0.04293771644499674,4.965243974393408,6.656387113279028,0.0641049213253587,0.030144074060261962,-2.176682814465319,-3.910508823014247,-2.1502605413272846,5.3808326744041945,6.181626289620062,0.11269524479292135,0.05105926382688633,-4.936764968120253,-0.762820318376904,-1.9999542698141346,5.312641572169995,6.911854898942894,0.06547178758541124,0.031265457946682146,-2.683774550842037,-3.9751185242694262,-2.284720410162164,4.985465299922511,6.785476438758762,0.06505649755561166,0.030803225717728575,-2.402664520290815,-3.8289793284137987,-2.234023595604284,10.157070790670032,9.09323743182805,0.1176021336631198,0.04833114357900198,-9.392637869456523,-0.6927666861593578,-3.8032243187171244
22,1548266187.86836,264926,11313,0.060136827615779855,3.0337106622329957,5.431149305389589,0.08677903154334274,0.04025988061505443,-1.2606752625173172,2.0368351875520534,1.861558670408442,6.1353594107530585,6.111849712430866,0.1527856399815594,0.06737078920604898,-4.787292374953254,3.535926019907775,1.490534802535555,2.9501758395920463,5.350972956661697,0.0887301398602339,0.04195419872517386,-1.0642653563716893,1.9262041867908386,1.9648445654883544,3.171222593636345,5.481924130410416,0.08839937552351344,0.041393508530249284,-1.3668584699918978,2.1385887592036914,1.957120200118435,18.40901489244356,11.113486042274968,0.15575196051519524,0.07352439427650369,-9.60530341979194,13.340710005492863,8.285857352940898
24,1548266187.93511,263546,10068,0.04776077794815306,3.369056977629489,2.7021755185322576,0.05943102500156494,0.027602323213296923,0.7346890165412335,-2.985215815281407,1.3781376940209529,4.422877414657688,4.684723953005046,0.10490585176145911,0.047294954452757325,-3.8750802543358667,1.7385670455880537,1.2340916803627577,3.8606291461066475,2.293762803058856,0.06111496495438568,0.029031093633783568,1.3119891746329468,-3.2969629131226594,1.5209133305050113,3.4330451348389897,2.702047459888669,0.06026307009182568,0.028198265332072696,0.8208377066176265,-3.0426796407230694,1.4003761895305336,7.19727341567499,5.479518527966974,0.12444726858179647,0.058029427703387856,-1.6323034734927901,4.531591658579442,5.347990934014241
26,1548266188.00185,262574,10692,0.03677553283673882,4.970639204027157,3.597477757303815,0.04258740458172398,0.019772391760124384,-1.3790847097294812,0.07694553273134527,4.77487788796685,3.400745497858464,2.7089135909253512,0.08499170801091821,0.03734269729302955,-0.8597981571681316,0.48257326590205785,3.254679725129881,4.75366729152854,3.744638935136307,0.043899949573152235,0.02093157069456846,-1.695254906820917,0.03514509900133361,4.440971553777853,4.995013967740045,3.5763577940687794,0.043716923577373015,0.02018057379305358,-1.2478643046437103,0.10919729097013023,4.8407076643312035,6.680809230419055,3.5681796855266525,0.05909800406844297,0.02838973706791284,-2.342436562385614,0.23058544269782527,6.252442185103943
29,1548266188.10197,264576,25020,0.0311614708499854,4.323779207170536,2.887924610229235,0.0359587842837269,0.016590489404028776,2.844074565646099,0.612809214823436,3.198557700532024,3.5954476009625416,2.4001842967048037,0.06655603684345884,0.03011310287772227,2.288091012881567,1.1493637644191699,2.5240534671591437,3.459278474743745,3.2745745947907374,0.03736751706775185,0.017767017008868992,2.1788498687504583,0.7821294763124351,2.570504677598304,3.765575565129489,3.168660101390013,0.03733949343164619,0.017663377789916248,2.2758565428164674,0.5575319144662934,2.9684742440749003,5.720231280536813,3.861124724562521,0.05558581231858822,0.02470910479307083,-1.3792561909456043,2.8934765952110464,4.737772837054975
31,1548266188.16870,265285,10338,0.04153610876499957,5.5458128751542635,2.2914887508086434,0.05639573482527912,0.02600369966057456,2.974991378727122,-4.319417834276458,1.80224757335405,4.2614644161683035,4.3731280655793,0.1006276445238122,0.04513933983006178,-3.557988582337519,0.8180069664612887,2.1981039149788417,5.809535225755202,2.0613872783936094,0.05797507226630741,0.02730795940900977,2.798409995041375,-4.7275895966765935,1.8893114206869992,5.427165151942129,2.3760061812370834,0.05761526236632819,0.02668866512137917,3.0838646566229,-4.16278598159491,1.7439860654614698,5.469828827311377,2.3418926523141814,0.08915064995192527,0.03883324183635596,2.323536937217653,-3.985891360995567,2.938175209175359
33,1548266188.23543,265335,8776,0.053316290272186755,3.505848153187956,4.248516854690315,0.07658148686433318,0.03538083973216066,2.8917202446274937,0.7826883594827749,1.8210777665857854,2.9587920754375627,3.9744787061953217,0.13593190566347088,0.05982758959618707,-2.0546884926529883,0.7360391955191099,1.9977367310261618,3.3715011161275585,3.9903354085280474,0.07805735578031618,0.036496582677889106,2.938342804562157,0.2807237783914101,1.6292192913088215,3.5161270288267916,4.294652170164277,0.07778899372703085,0.03611630854853917,2.8500571186621477,0.8579194121863667,1.8131446367536062,5.2821555713115895,5.320834369964386,0.11593674941577918,0.051044321137404744,2.8676995979907165,3.3193721602959405,2.94265780488901
36,1548266188.33551,264747,11136,0.054527085423159594,5.186740218214514,4.925725784888434,0.08091765378718502,0.03697302514917654,4.988267312335931,1.0234594796706236,0.9858975633386878,2.676272491646361,3.7973265689794213,0.14355029236256645,0.0629963697231213,-1.7606407857060362,0.5703016961377829,1.9332186758444638,5.024575193019253,4.692268550441711,0.08309878944207946,0.03842682012293711,4.805805470364217,0.7291711943027765,1.272359627118405,5.13127692931387,4.9964534545715065,0.08225551811457663,0.03768760451656169,4.950942521811014,1.061633979681866,1.1344703698098448,11.03021226964804,7.513668066363879,0.15770810086515455,0.0724467723550697,-2.0446631587477895,8.357275328251104,6.902237634894866
38,1548266188.40224,264717,2976,0.04537073439915753,5.180268790158402,4.691119527814777,0.0640507020166223,0.028943142333164477,4.94511563166192,1.1988201243727163,0.9715175948901291,3.262383500324996,3.8522502256066704,0.11924748260860482,0.05178449023757429,-0.8858704559193499,1.7274431526211658,2.6218924068283704,5.239505866417097,4.694782125634033,0.06422102000206388,0.029084009907749994,5.01239061157947,1.1780886831280224,0.9697778796481404,5.196550351103987,4.669407213855003,0.06428742736034486,0.029060627753200383,4.915574523162994,1.1539223202711417,1.026081375333293,3.292296087495154,2.5978222629416656,0.09873478935455199,0.04827291557712762,2.845115043302569,-1.6566527381261713,0.00596853150936886
40,1548266188.46898,264254,2963,0.029451896289472482,6.427864928379466,1.9151018934549844,0.037736534138717845,0.016932443778468344,4.1375828123218,-4.913686312967383,0.23139322899988543,0.6318475806607596,2.798638610748109,0.08002662465051524,0.03481063815039969,-0.48541647977734464,-0.22912837020012924,0.333320260885621,6.403849088428706,1.8971077257653028,0.03799155045823203,0.01705501823017646,4.117774789358611,-4.897031671278761,0.2688768156322952,6.419777625665071,1.9101132069455375,0.037847904755205,0.017004863938920922,4.124430662853648,-4.926834066721186,0.22938408751897182,4.980743690520577,2.4619868745880082,0.06100695130945114,0.027000156415429726,3.3443114198196437,-3.6382651751776387,0.621623159972412
43,1548266188.56909,262067,2689,0.0225805131117039,11.097766274273196,3.5277155206109194,0.02852485335384793,0.012600734396542685,9.530667772427963,0.19536592502931907,-5.682307651415576,9.082162526217024,2.473170610521672,0.05602330331546223,0.024124646865648115,7.170781232398435,0.6429357167257269,-5.536443473373639,11.080946146070788,3.480859215584911,0.02869243214219308,0.01269360004684838,9.438806839143693,0.18017707509308112,-5.802053874884842,11.1678707102256,3.539535649786358,0.028714880758787517,0.012680690890321394,9.599283683973965,0.17691220803133223,-5.692975943929894,11.11068277520964,3.560826667895098,0.04931121040562815,0.020045637968677275,9.47232582792154,1.3806480602436602,-5.640578523057376
45,1548266188.63584,262584,10462,0.03160404035948883,6.1139801603400095,2.0385215608631406,0.042424272394356116,0.018494071024885112,3.8714429898146965,-3.9649166821842705,2.583044382309906,2.8793899466853534,2.498703048269329,0.08813606685492797,0.03761771689545079,-1.8367488548788249,-0.7763085878567101,2.077157934677556,6.566967495418292,1.7546513668942225,0.04387708665863696,0.019311436801316185,3.9138073366449437,-4.5128783261250405,2.727838600631544,6.127613906828092,2.105319615059382,0.04302258646471454,0.018730513822099427,4.007523053079659,-3.917628473075517,2.60987992291461,7.928048945925428,1.4887754520190937,0.0920614581943434,0.03615271244459858,3.5344399579838597,-6.955795608015029,1.406627787268252
