frame,stem,n_valid,n_removed,sigma,all_dt_mm,all_dr_mrad,all_sdt_mm,all_sdr_mrad,all_tx,all_ty,all_tz,robust_dt_mm,robust_dr_mrad,robust_sdt_mm,robust_sdr_mrad,robust_tx,robust_ty,robust_tz,oracle_dt_mm,oracle_dr_mrad,oracle_sdt_mm,oracle_sdr_mrad,oracle_tx,oracle_ty,oracle_tz,shift_dt_mm,shift_dr_mrad,shift_sdt_mm,shift_sdr_mrad,shift_tx,shift_ty,shift_tz,mrcs_dt_mm,mrcs_dr_mrad,mrcs_sdt_mm,mrcs_sdr_mrad,mrcs_tx,mrcs_ty,mrcs_tz
1,1548265882.54513,262248,2052,0.029791502922987188,5.938234999435878,2.1756400997433287,0.038176489165346175,0.014667556218153844,-2.462246081473277,0.8694230001792813,-5.333299428079578,2.151825102610019,2.2262875049677917,0.08325473866930265,0.03145044700197088,-0.9492597117264796,-1.7053887216228396,-0.9060389506402013,5.978025016537668,2.172979438869491,0.03828749590502146,0.014720683282655274,-2.4383225241234485,0.8618633825845428,-5.389671407095461,5.961441522575415,2.172702125509625,0.03825678819975632,0.014705628014880477,-2.4645147970645214,0.8924585066342565,-5.356873669804694,11.77411898309171,1.544148360019509,0.10424137538121574,0.03287197905173009,-11.453838926256688,1.8328209609902275,-2.019955198592896
2,1548265882.57849,264106,4743,0.023106564948614655,5.258720709143592,7.146994340825794,0.03197898240408278,0.012396608635122458,-1.9037638220638275,-4.833180152577897,-0.8186552505809238,2.5467479567556803,4.523571214861123,0.06485193619244876,0.024360565007359093,-1.9568212011824675,-1.373025504413223,-0.8783945048056998,5.208610960395159,7.192495102685056,0.03217249160326813,0.01249923815298714,-1.9325986181990558,-4.7880228030598255,-0.6852213912764362,5.230134992631787,7.172196290181741,0.03222686061752686,0.012545082111556524,-1.8812725550335472,-4.777042146979772,-0.7639909538536277,11.30553678335715,7.212194390787555,0.04842223505304595,0.01810450080464482,5.558093519735501,-8.39469451545543,-5.143137406087675
3,1548265882.61184,264153,559,0.027934621346710146,6.027269857429375,7.153005243824225,0.05027461564089122,0.019287661215984887,3.823481247171296,3.4291227466978293,-3.154376368616416,3.4300605944814846,4.470876116201371,0.09654930877540607,0.03525926239591502,1.2672602037940983,2.356103079347903,-2.146659157197934,6.095031511584396,7.201162335071212,0.050394275459739755,0.019369590709513874,3.969057025311121,3.397448603395067,-3.139002778642305,6.03420227576654,7.155960697792381,0.0503050448531718,0.019294551416420128,3.823918764276989,3.4335854343026186,-3.1525305674961404,19.460819850579316,7.748057187625107,0.12745444038767595,0.0426606864447563,-6.3832578204459045,13.274396349786691,12.718802239330083
5,1548265882.67210,266079,7995,0.029566086607596156,3.0632315539640134,3.123595685102766,0.04212580849957093,0.0159938200244352,0.9923414199341808,-1.8710654556185564,2.2130883670280146,2.723617039710002,2.978120340773718,0.08152551330596604,0.030830079049151905,1.7921662884404437,-1.9331731243437855,0.6848879068075062,2.81849481845751,3.110316790047651,0.04292909416294406,0.01651339844492254,1.114160597031997,-1.319640353159332,2.2273546067042513,3.0581600483280322,3.066168240191404,0.0425412753062301,0.01623411396536264,0.9439246637035079,-1.8007632466870334,2.199271796106053,11.640993786394409,4.969071523834845,0.08535015444122064,0.031035591149386654,7.7190035515008955,-8.537183788766487,-1.7453405007655305
6,1548265882.70544,266409,7034,0.04121849923368382,4.282384261767434,3.3662874695615317,0.07087550708446455,0.028157745373306273,0.5253439857438499,3.738700135549077,2.0211259135742856,3.4599113894203084,3.6535129156021817,0.12680616023135255,0.04956114650077439,1.6278868942665905,-0.7736868598531874,2.9533675228467513,4.894751507152849,4.006232018312562,0.07215240157335429,0.02903735047297807,1.1860626345634748,4.041835150040652,2.4930736779251634,4.331536399558039,3.4733743496689486,0.07187532596390668,0.028652480258359703,0.7099303208440383,3.800784429028771,2.050203882080288,14.457502978551652,2.5611488484063716,0.1504084114430047,0.05792364915210876,-12.870563773423607,1.981681507718996,6.280200548631419
8,1548265882.77217,264897,5912,0.03965004751201008,3.6672582210123434,2.2882703377497573,0.04897069961096075,0.0193468911324848,1.7766379304830517,-0.44660320719041385,-3.176930294935467,2.437718666668788,2.4122947866982636,0.09791192261203512,0.038361250064051944,2.183843863856734,-0.28492092110863826,-1.0450446616462619,3.8922865751247007,2.4428194446080846,0.04942253722744306,0.019612438731768593,1.8877049443681628,-0.4727883712562704,-3.370895427317318,3.5958384177857914,2.2488732088916716,0.049147274367151425,0.019432837524491625,1.717602196783814,-0.34436942442995977,-3.147355988073025,8.867451973555918,3.2494407709765394,0.10448173557523542,0.034877182637760455,7.98901365208674,-1.4806376500184606,-3.5517710398391724
9,1548265882.80554,264031,7436,0.04741286245048982,2.2120661372126125,2.285228530536916,0.0602767036266706,0.023847629308611208,1.3421786003774738,-0.8611093411244038,-1.533063567736116,1.3490942896366815,1.9936386441242004,0.11161601303858396,0.04357288480956405,0.777677528716562,-0.8504048286039415,-0.7014874846686174,2.496027630842473,2.336085226829285,0.06111291155617952,0.0243331981331263,1.365204642572205,-0.9020828526387136,-1.8848386521937597,2.1335242149199005,2.2761290100299854,0.06075598447633428,0.024174789579300037,1.2720102520917556,-0.8051589307044605,-1.4920133492211383,6.188345165582158,2.48409494149031,0.1130229953447864,0.03989199121065973,5.918098224639415,1.6727813238861742,0.6881365666504689
11,1548265882.87227,263112,3081,0.03127685384131542,1.9126600626989374,2.5986911956660976,0.038349360565091646,0.015283568994260036,0.6827259516380924,-1.337928878493106,-1.1841030810269617,1.9968200936405622,2.0606835965760553,0.08203888847395492,0.031993142128666004,1.9750998042678138,0.23868986191167987,-0.17116775212793467,1.8476301280262049,2.644335524052862,0.03880375953223849,0.015531678256240791,0.5406744338571703,-1.4220234672209813,-1.0484548179278768,1.9088364393363086,2.609928374350397,0.038524829896571675,0.015364572540070148,0.6428523313865668,-1.3365992270804403,-1.167111122475336,2.1429732601661127,2.7701993770706608,0.07126259425909763,0.02602964996979694,-0.32101645800853695,-1.7811820127546294,1.1474639275001184
12,1548265882.90561,263391,5226,0.03301382788177811,5.553764407606095,3.2119488777274827,0.03926915037603977,0.015553205434417485,0.1535723380011852,-3.6880367682986392,4.1495902722883935,4.458987322620866,3.1665361645267205,0.08208597472881789,0.03180957600532242,1.0602270258376756,-4.052086535574874,1.5294055398061732,5.537942892339623,3.2734837998452813,0.03968564386169031,0.01578099779163455,-0.04258308550309323,-3.6905753322945882,4.1287591206442,5.511488370847709,3.204973277694908,0.03944897683420148,0.015626727250095288,0.15211326105187858,-3.5613503443917573,4.244263771387247,6.4267979959304,3.6679792034954657,0.06799037370058432,0.026167112708914888,1.2474154942590505,-6.262921317743523,-0.7235355091017929
14,1548265882.97235,264073,7940,0.03746862630039535,4.526050628704277,1.3957528034425395,0.044531229018327664,0.01723121219594232,-0.01886624400920055,-4.155239075189041,-1.7940921343268539,1.9216243283304342,2.2198619019771786,0.09105857181860348,0.03448819285226881,-1.3840233211681718,0.1482011542080579,-1.324822978207057,4.1895011449038755,1.4875425311072705,0.045534845105518,0.017776116423018257,-0.12125892077185381,-3.810949855462247,-1.7360522216904661,4.463139555077753,1.3853974449194095,0.045011480047445734,0.017432795333654553,0.014359371644508099,-4.126005835829015,-1.7461769056823448,14.479674060476679,2.536193195888878,0.08584149905228594,0.030633411175287294,5.8909110539548335,-11.152674415790448,-7.1116792129149875
