frame,stem,n_valid,n_removed,area_frac,resolution_mm,oracle_mm,oracle_mrad,res_all_mm,res_robust_mm,res_oracle_mm,res_mrcs_mm,res_shift_mm,oracle_x,oracle_y,oracle_z,robust_mm,robust_pi,mrcs_mm,mrcs_pi,shift_mm,shift_max_mm,shift_pi
1,1548265882.54513,198136,1204,0.00607663423103323,0.01985213199272304,0.14215407250744944,0.05071490624571737,0.01985213199272304,0.062016904047950044,0.016637280429026645,0.07781293822713782,0.02718725106424719,0.0043100505325814,-0.044137103400986234,-0.13505969013081007,1.078766188135242,-0.48460609915903985,7.757636288514093,26.31586092149752,0.14673951817924002,0.22568549331040283,-0.1818440627798288
10,1548265882.83890,199232,2996,0.015037744940571796,0.09033652411634399,0.11628133831481864,0.07164791877889252,0.09033652411634399,0.3031638036029194,0.08938155353591867,4.983320536519174,0.09544572469837195,-0.06746442754471568,-0.09378960289242724,-0.01316856277768839,0.8735144580061592,-2.4059762594610303,1.1108341761279712,-8.552475419728689,0.07582792956187481,0.23948304923996785,-0.2798121361145436
30,1548265883.50628,194166,1517,0.007812902361896521,0.029612402467018416,0.2610535236758617,0.11680364069927775,0.025790724851253697,0.42191906283475455,0.029612402467018416,0.0008012656791174372,0.027973987412267635,-0.18853348056991273,-0.14089104494490645,0.11293264533389082,4.25025381105414,2.771769267707325,4.886550119321483,2.71394728021586,0.09268423239874136,0.43672406623370114,0.09861889034471802
40,1548265883.83995,192138,3147,0.016378852699622148,0.04415318006236903,0.45550446452005355,0.16563476372545066,0.04415318006236903,0.17210354785209303,0.03790838649978313,0.02622790368973438,0.04499755501913275,-0.22032982256070727,-0.2871634039298281,0.276543425037556,4.005054476288148,-3.689847611006969,12.355569336199897,-14.373372061369118,0.4465672142118188,0.8219923860000415,0.7266082605503668
59,1548265884.47394,187968,54099,0.2878096271705822,0.8734603293319019,8.895477331142105,2.2150825976455115,0.8734603293319019,2.363433205681261,0.0002920074088392102,0.007381309832192251,6.418312622542676,8.70969055922451,0.3649424997266121,-1.7713340405784026,11.485496874322445,1.266778108080239,15.0292062773298,1.6181290288299528,5.840813008911825,6.053799807695183,0.6359333573432322
69,1548265884.80760,197742,6677,0.03376622063092312,0.08241377782019373,0.6184417244077289,0.2879474866386186,0.07569318918821526,1.3225800328268973,0.08241377782019373,0.21067673651002922,0.07547411863133983,0.4598317472960617,-0.2457382944556593,-0.33262234035776955,17.902513835220308,25.591017860995375,2.387981508474107,-1.709712531159797,0.4464417368468868,1.1858446393826803,0.6254611861513608
79,1548265885.14132,204020,3174,0.015557298304087834,0.08673225172592278,0.3550582477697167,0.13080229893028578,0.08147068440907156,0.9928370305844451,0.08673225172592278,0.0013900264566696758,0.08683306793755692,-0.28802302844827654,0.12054514334028926,-0.16905017837865155,8.05667272063933,-17.55003734040499,17.71745924727062,-39.26398265521158,0.07710017982040224,0.15139951203363175,0.001095428044994115
89,1548265885.47504,211030,2752,0.013040799886272094,0.020030852340868023,0.11788371250189215,0.053473621808305616,0.019243855409437516,0.7090280741325122,0.020030852340868023,0.003011834791634733,0.02037018064653101,0.08356151838741475,-0.04655113720046612,0.06889872236378473,13.599383509899914,88.46258229315143,8.058180917254619,36.394641405834506,0.07960512580209747,0.09242069224560287,0.2308313145839597
98,1548265885.77535,222380,1460,0.006565338609587193,0.02173820697157296,0.349851108773344,0.049341800867384385,0.02173820697157296,0.45585057737615586,0.01953448627371855,0.6056938082306307,0.02314824361096179,-0.025512406103228177,-0.025902987118241287,-0.34795682304434605,7.2622402606646,1.5598509294844007,7.063363174639703,0.3429465307650119,0.1950527838750819,0.28794230072516536,0.5235489948923899
118,1548265886.44273,218450,2604,0.011920347905699244,0.010317377652774712,0.7687234656982052,0.24052749603623544,0.010317377652774712,2.6487711071113056,0.006731542332620824,0.0009560288169882427,0.013375134684142514,-0.5336174534988614,0.3782969282643695,-0.40383117029545,4.844483579843806,-4.05427064342625,24.689886213687014,-24.5352450839821,0.1779372081574145,0.8931115725870125,-0.10166875056351371
